shop_name,sizang_name,sangga_name,shop_address,shop_phone,product_unique_id,product_create_at,product_category_1,product_category_2,product_category_3,product_name,product_maxrate,product_fabric,product_made,product_is_unit,product_price,product_color,product_size,product_fitting,product_thickness,product_elasticity,product_seethrough,product_lining,product_gloss,product_touch,product_banding,product_image_url,product_link
티엔씨,동대문,Theot,B1 G 27,02-2117-4166,7304169,,여성,하의,스커트,D링sk(2칼라)합포작업,폴리에스터 100%,"드라이클리닝 전용,세탁기 사용 가능",한국,낱장 가능,38500,"블랙,소라","M,S",기본핏,보통,좋음,비침없음,안감있음,광택있음,부드러움,없음,"https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image2/7304169_0.png,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image2/7304169_1.png,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image2/7304169_2.png,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image2/7304169_3.png,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image2/7304169_4.png,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image2/7304169_5.png,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image2/7304169_6.png,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image2/7304169_7.png,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image2/7304169_8.png,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image2/7304169_9.png",https://www.linkshops.com/tnc_theot
티엔씨,동대문,Theot,B1 G 27,02-2117-4166,7225895,2023-05-01,여성,기타,,베이뷔스티에(2칼라),"폴리에스터 80%,레이온 16%,스판 4%","드라이클리닝 전용,세탁기 사용 가능",한국,낱장 가능,28600,"블랙,베이지",FREE,기본핏,얇음,좋음,비침없음,안감있음,광택없음,부드러움,없음,"https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image2/7225895_0.png,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image2/7225895_1.png,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image2/7225895_2.png,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image2/7225895_3.png,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image2/7225895_4.png,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image2/7225895_5.png,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image2/7225895_6.png,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image2/7225895_7.png,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image2/7225895_8.png,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image2/7225895_9.png",https://www.linkshops.com/tnc_theot
티엔씨,동대문,Theot,B1 G 27,02-2117-4166,6735581,2023-05-01,여성,탑,티/탑,바스티top(2칼라),"폴리에스터 82%,레이온 13%,스판 5%",,한국,낱장 가능,31900,"그레이,블랙",Free,기본핏,얇음,좋음,비침없음,안감있음,광택없음,부드러움,없음,"https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image2/6735581_0.png,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image2/6735581_1.png,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image2/6735581_2.png,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image2/6735581_3.png,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image2/6735581_4.png,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image2/6735581_5.png,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image2/6735581_6.png,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image2/6735581_7.png,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image2/6735581_8.png,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image2/6735581_9.png",https://www.linkshops.com/tnc_theot
티엔씨,동대문,Theot,B1 G 27,02-2117-4166,7225894,2023-05-01,여성,기타,,베이pt(2칼라),"폴리에스터 80%,레이온 16%,스판 4%","드라이클리닝 전용,세탁기 사용 가능",한국,낱장 가능,35200,"베이지,블랙","M,S",기본핏,얇음,좋음,비침없음,안감있음,광택없음,부드러움,없음,"https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image2/7225894_0.png,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image2/7225894_1.png,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image2/7225894_2.png,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image2/7225894_3.png,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image2/7225894_4.png,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image2/7225894_5.png,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image2/7225894_6.png,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image2/7225894_7.png,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image2/7225894_8.png,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image2/7225894_9.png",https://www.linkshops.com/tnc_theot
티엔씨,동대문,Theot,B1 G 27,02-2117-4166,7249646,2023-05-01,여성,기타,,뮤뮤pt(2칼라),"폴리에스터 95%,스판 5%","드라이클리닝 전용,세탁기 사용 가능",한국,낱장 가능,36300,"블랙,그레이","M,S",기본핏,보통,좋음,비침없음,안감있음,광택없음,부드러움,없음,"https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image2/7249646_0.png,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image2/7249646_1.png,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image2/7249646_2.png,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image2/7249646_3.png,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image2/7249646_4.png,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image2/7249646_5.png,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image2/7249646_6.png,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image2/7249646_7.png,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image2/7249646_8.png,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image2/7249646_9.png",https://www.linkshops.com/tnc_theot
티엔씨,동대문,Theot,B1 G 27,02-2117-4166,6786516,2023-05-01,여성,탑,블라우스,아메리bl(2칼라),코튼(면) 100%,드라이클리닝 전용,한국,낱장 가능,28600,"블랙,아이",FREE,기본핏,얇음,보통,비침없음,안감없음,광택없음,보통,없음,"https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image2/6786516_0.png,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image2/6786516_1.png,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image2/6786516_2.png,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image2/6786516_3.png,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image2/6786516_4.png,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image2/6786516_5.png,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image2/6786516_6.png,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image2/6786516_7.png,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image2/6786516_8.png,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image2/6786516_9.png",https://www.linkshops.com/tnc_theot
티엔씨,동대문,Theot,B1 G 27,02-2117-4166,6840807,2023-05-01,여성,하의,스커트,미라클sk(2칼라),"폴리에스터 80%,린넨(마) 5%,레이온 15%","드라이클리닝 전용,세탁기 사용 가능",한국,낱장 가능,30800,"오트베이지,핑크","S,M",보통,기본핏,보통,안감있음,비침없음,얇음,광택없음,없음,"https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image2/6840807_0.png,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image2/6840807_1.png,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image2/6840807_2.png,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image2/6840807_3.png,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image2/6840807_4.png,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image2/6840807_5.png,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image2/6840807_6.png,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image2/6840807_7.png,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image2/6840807_8.png,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image2/6840807_9.png",https://www.linkshops.com/tnc_theot
티엔씨,동대문,Theot,B1 G 27,02-2117-4166,6840803,2023-05-01,여성,아우터,자켓,미라클jk(2칼라),"폴리에스터 80%,레이온 15%,린넨(마) 5%","드라이클리닝 전용,세탁기 사용 가능",한국,낱장 가능,52800,"빨강,오트베이지,핑크",FREE,비침없음,안감없음,루즈핏,보통,보통,광택없음,얇음,없음,"https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image2/6840803_0.png,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image2/6840803_1.png,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image2/6840803_2.png,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image2/6840803_3.png,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image2/6840803_4.png,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image2/6840803_5.png,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image2/6840803_6.png,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image2/6840803_7.png,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image2/6840803_8.png,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image2/6840803_9.png",https://www.linkshops.com/tnc_theot
티엔씨,동대문,Theot,B1 G 27,02-2117-4166,7193070,2023-05-01,여성,드레스,원피스,메이슨ops(2칼라),"폴리에스터 96%,스판 4%","드라이클리닝 전용,세탁기 사용 가능",한국,낱장 가능,31900,"핑크,블랙",FREE,기본핏,보통,보통,비침없음,안감있음,광택없음,부드러움,없음,"https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image2/7193070_0.png,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image2/7193070_1.png,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image2/7193070_2.png,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image2/7193070_3.png,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image2/7193070_4.png,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image2/7193070_5.png,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image2/7193070_6.png,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image2/7193070_7.png,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image2/7193070_8.png,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image2/7193070_9.png",https://www.linkshops.com/tnc_theot
티엔씨,동대문,Theot,B1 G 27,02-2117-4166,7193065,2023-05-01,여성,탑,니트,르로이홀터니트(2칼라),"코튼(면) 55%,나일론 15%,아크릴 30%","드라이클리닝 전용,세탁기 사용 가능",한국,낱장 가능,22000,"그린,민트",FREE,기본핏,보통,좋음,비침없음,안감없음,광택없음,보통,없음,"https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image2/7193065_0.png,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image2/7193065_1.png,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image2/7193065_2.png,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image2/7193065_3.png,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image2/7193065_4.png,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image2/7193065_5.png,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image2/7193065_6.png,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image2/7193065_7.png,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image2/7193065_8.png,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image2/7193065_9.png",https://www.linkshops.com/tnc_theot
