store_id_num,sangga_name,store_name,store_phone,store_address,store_aws_image,accounts,number_of_total_products,accounts_products
6808,누죤,MK,010-3717-0452,NUZZON 3F 322호,https://sokodress.s3.ap-northeast-2.amazonaws.com/ShopProfiles/6808.jpg,"1,022",35,1
21406,누죤,ORDA,010-2301-7219,NUZZON 6F 108호,https://sokodress.s3.ap-northeast-2.amazonaws.com/ShopProfiles/21406.jpg,"1,084",189,0
18361,누죤,HENDEL,02-2231-0633,NUZZON 5F 606호,https://sokodress.s3.ap-northeast-2.amazonaws.com/ShopProfiles/18361.jpg,"3,651","8,768",1
14437,누죤,157 flying,010-8570-0157,NUZZON 5F 122호,https://sokodress.s3.ap-northeast-2.amazonaws.com/ShopProfiles/14437.jpg,640,"3,006",0
11372,누죤,BROWN MARKET,02-6366-4700,NUZZON B1 519호,https://sokodress.s3.ap-northeast-2.amazonaws.com/ShopProfiles/11372.jpg,"3,564","11,479",1
16200,누죤,구름,02-2117-4420,THEOT B2 C28,https://sokodress.s3.ap-northeast-2.amazonaws.com/ShopProfiles/16200.jpg,"10,111","16,947",7
9143,누죤,Rooka,02-2236-1999,NUZZON 1F 619호,https://sokodress.s3.ap-northeast-2.amazonaws.com/ShopProfiles/9143.jpg,348,154,0
23885,누죤,lemei,010-5544-5041,NUZZON 4F 115호,https://sokodress.s3.ap-northeast-2.amazonaws.com/ShopProfiles/23885.jpg,"5,722",450,0
20546,누죤,9 from 10,010-8763-7800,NUZZON B1 513호,https://sokodress.s3.ap-northeast-2.amazonaws.com/ShopProfiles/20546.jpg,"3,495","9,352",167
16306,누죤,앨짱,02-6366-5878,NUZZON B1 415호,https://sokodress.s3.ap-northeast-2.amazonaws.com/ShopProfiles/16306.jpg,"4,364","1,142",2
3066,누죤,Ribbon Dress,02-6366-4884,NUZZON 2F 501호,https://sokodress.s3.ap-northeast-2.amazonaws.com/ShopProfiles/3066.jpg,558,788,0
23274,누죤,G1모자,010-2598-5281,NUZZON 2F 406호,https://sokodress.s3.ap-northeast-2.amazonaws.com/ShopProfiles/23274.jpg,560,"2,663",2
3609,누죤,goshen,02-2233-0855,NUZZON 1F 219호,https://sokodress.s3.ap-northeast-2.amazonaws.com/ShopProfiles/3609.jpg,"3,539","1,299",0
11162,누죤,MARIEN,010-4805-3484,NUZZON 4F 603호,https://sokodress.s3.ap-northeast-2.amazonaws.com/ShopProfiles/11162.jpg,"1,828",904,2
23213,누죤,uniion,010-9706-7011,NUZZON 4F 709호,https://sokodress.s3.ap-northeast-2.amazonaws.com/ShopProfiles/23213.jpg,"2,738","9,771",3
9533,누죤,Liberta,010-4658-1711,NUZZON 5F 511호,https://sokodress.s3.ap-northeast-2.amazonaws.com/ShopProfiles/9533.jpg,"2,675","9,015",0
25389,누죤,언본,02-6366-4170,NUZZON 6F 314호,https://sokodress.s3.ap-northeast-2.amazonaws.com/ShopProfiles/25389.jpg,322,374,2
15588,누죤,Bible,02-6366-3525,NUZZON 6F 413호,https://sokodress.s3.ap-northeast-2.amazonaws.com/ShopProfiles/15588.jpg,816,319,0
6674,누죤,루비아,02-6366-5624,NUZZON B2 321호,https://sokodress.s3.ap-northeast-2.amazonaws.com/ShopProfiles/6674.jpg,807,"1,163",23
17800,누죤,OVER TRAINING,010-8324-9880,NUZZON 5F 215호,https://sokodress.s3.ap-northeast-2.amazonaws.com/ShopProfiles/17800.jpg,"2,121","2,736",0
18234,누죤,THE PLAN,010-9138-2677,NUZZON 5F 417호,https://sokodress.s3.ap-northeast-2.amazonaws.com/ShopProfiles/18234.jpg,"1,066","2,702",0
26972,누죤,mimiga,010-5093-0754,NUZZON 4F 105호,https://sokodress.s3.ap-northeast-2.amazonaws.com/ShopProfiles/26972.jpg,164,310,9
8827,누죤,rayble,02-6366-5412,NUZZON 6F 601호,https://sokodress.s3.ap-northeast-2.amazonaws.com/ShopProfiles/8827.jpg,"2,847",508,0
16884,누죤,sense,02-6366-6206,NUZZON 6F 206호,https://sokodress.s3.ap-northeast-2.amazonaws.com/ShopProfiles/16884.jpg,"1,645","2,986",0
11237,누죤,AMOR,02-6366-4785,NUZZON 6F 312호,https://sokodress.s3.ap-northeast-2.amazonaws.com/ShopProfiles/11237.jpg,"1,786",225,0
186,누죤,peritod,02-2237-5854,NUZZON B2 310호,https://sokodress.s3.ap-northeast-2.amazonaws.com/ShopProfiles/186.jpg,648,644,1
2076,누죤,살리번,010-2046-7618,NUZZON 5F 402호,https://sokodress.s3.ap-northeast-2.amazonaws.com/ShopProfiles/2076.jpg,"1,808",45,0
23388,누죤,2spoon,010-8550-5112,NUZZON 5F 112호,https://sokodress.s3.ap-northeast-2.amazonaws.com/ShopProfiles/23388.jpg,593,738,0
3583,누죤,R2,010-2109-2622,NUZZON 3F 601호,https://sokodress.s3.ap-northeast-2.amazonaws.com/ShopProfiles/3583.jpg,"3,118","5,293",8
2948,누죤,원버튼,02-6366-6512,NUZZON 6F 128호,https://sokodress.s3.ap-northeast-2.amazonaws.com/ShopProfiles/2948.jpg,"1,720","1,234",1
18110,누죤,메이나인,010-7317-5671,NUZZON B1 413호,https://sokodress.s3.ap-northeast-2.amazonaws.com/ShopProfiles/18110.jpg,"2,375","12,920",2
5585,누죤,PLANB,02-6366-4230,NUZZON 3F 421호,https://sokodress.s3.ap-northeast-2.amazonaws.com/ShopProfiles/5585.jpg,"2,248","1,317",0
24997,누죤,YlangYlang,02-6366-3619,NUZZON B2 703호,https://sokodress.s3.ap-northeast-2.amazonaws.com/ShopProfiles/24997.jpg,26,70,0
4355,누죤,루이스,02-6366-5107,NUZZON 3F 107호,https://sokodress.s3.ap-northeast-2.amazonaws.com/ShopProfiles/4355.jpg,147,"1,012",2
6624,누죤,LeeJen,02-6366-6277,NUZZON B2 203호,https://sokodress.s3.ap-northeast-2.amazonaws.com/ShopProfiles/6624.jpg,"4,678","17,503",3
26829,누죤,othello,010-2464-2915,NUZZON 3F 307호,https://sokodress.s3.ap-northeast-2.amazonaws.com/ShopProfiles/26829.jpg,104,28,0
9905,누죤,sugarjeans,010-2391-9362,NUZZON 1F 313호,https://sokodress.s3.ap-northeast-2.amazonaws.com/ShopProfiles/9905.jpg,"1,951",767,15
4839,누죤,로엔,02-6366-4175,NUZZON 5F 403호,https://sokodress.s3.ap-northeast-2.amazonaws.com/ShopProfiles/4839.jpg,865,"1,557",10
26859,누죤,and,010-6535-6414,NUZZON 3F 512호,https://sokodress.s3.ap-northeast-2.amazonaws.com/ShopProfiles/26859.jpg,150,107,0
24868,누죤,dalda,02-6366-4054,NUZZON B1 405호,https://sokodress.s3.ap-northeast-2.amazonaws.com/ShopProfiles/24868.jpg,"1,451","4,932",1
12966,누죤,리본,02-2233-9690,NUZZON B1 626호,https://sokodress.s3.ap-northeast-2.amazonaws.com/ShopProfiles/12966.jpg,"2,014","2,376",2
3147,누죤,버킷리스트,010-7650-1360,NUZZON 5F 429호,https://sokodress.s3.ap-northeast-2.amazonaws.com/ShopProfiles/3147.jpg,"3,198",362,0
5327,누죤,"NAN,,,DA",02-6366-3782,NUZZON 2F 408호,https://sokodress.s3.ap-northeast-2.amazonaws.com/ShopProfiles/5327.jpg,"1,114","1,378",0
26952,누죤,million,010-3440-5125,NUZZON 5F 512호,https://sokodress.s3.ap-northeast-2.amazonaws.com/ShopProfiles/26952.jpg,151,87,0
27199,누죤,Daol,010-4246-3117,NUZZON 4F 616호,https://sokodress.s3.ap-northeast-2.amazonaws.com/ShopProfiles/27199.jpg,13,66,0
22784,누죤,LABON,010-3194-3218,NUZZON 5F 210호,https://sokodress.s3.ap-northeast-2.amazonaws.com/ShopProfiles/22784.jpg,138,228,0
9428,누죤,9NINE BRICK,010-5524-4855,NUZZON 5F 411호,https://sokodress.s3.ap-northeast-2.amazonaws.com/ShopProfiles/9428.jpg,852,"1,254",1
5938,누죤,everick,02-2233-9356,NUZZON 6F 504호,https://sokodress.s3.ap-northeast-2.amazonaws.com/ShopProfiles/5938.jpg,"1,564","3,835",0
582,누죤,SKY,010-9274-3237,NUZZON 5F 526호,https://sokodress.s3.ap-northeast-2.amazonaws.com/ShopProfiles/582.jpg,"2,904","2,855",4
300,누죤,오페라,02-6366-3691,NUZZON 5F 601호,https://sokodress.s3.ap-northeast-2.amazonaws.com/ShopProfiles/300.jpg,"1,557",706,3
19665,누죤,613street,010-6379-5727,NUZZON 3F 605호,https://sokodress.s3.ap-northeast-2.amazonaws.com/ShopProfiles/19665.jpg,"2,373",146,0
27096,누죤,HAVEN,010-2508-9658,NUZZON 3F 613호,https://sokodress.s3.ap-northeast-2.amazonaws.com/ShopProfiles/27096.jpg,27,26,0
3357,누죤,onl ONL 5nl 5NL,010-3339-0877,NUZZON 5F 220호,https://sokodress.s3.ap-northeast-2.amazonaws.com/ShopProfiles/3357.jpg,"1,239",560,0
14532,누죤,toktok,010-9022-8366,NUZZON B2 425호,https://sokodress.s3.ap-northeast-2.amazonaws.com/ShopProfiles/14532.jpg,"2,318","13,847",1
21093,누죤,다소니,010-8021-4102,NUZZON B1 512호,https://sokodress.s3.ap-northeast-2.amazonaws.com/ShopProfiles/21093.jpg,"2,516","9,157",6
25947,누죤,VVV브이브이브이,010-5193-9294,NUZZON B1 106호,https://sokodress.s3.ap-northeast-2.amazonaws.com/ShopProfiles/25947.jpg,"1,307","2,366",0
18131,누죤,selina,02-6366-4611,NUZZON 4F 310호,https://sokodress.s3.ap-northeast-2.amazonaws.com/ShopProfiles/18131.jpg,"1,337",610,0
20274,누죤,ROOM,010-4225-9508,NUZZON 5F 102호,https://sokodress.s3.ap-northeast-2.amazonaws.com/ShopProfiles/20274.jpg,"2,642","5,382",0
24621,누죤,Owelty,010-2434-7926,NUZZON 6F 503호,https://sokodress.s3.ap-northeast-2.amazonaws.com/ShopProfiles/24621.jpg,431,83,0
25642,누죤,디그린(D_green),010-3008-1469,NUZZON 3F 514호,https://sokodress.s3.ap-northeast-2.amazonaws.com/ShopProfiles/25642.jpg,582,972,0
25767,누죤,DK,010-3407-2123,NUZZON 4F 129호,https://sokodress.s3.ap-northeast-2.amazonaws.com/ShopProfiles/25767.jpg,522,127,71
