store_id_num,sangga_name,store_name,store_phone,store_address,store_aws_image,accounts,number_of_total_products,accounts_products
24741,THEOT,Threestar,02-2117-8871,JABA11 1F D-14,https://sokodress.s3.ap-northeast-2.amazonaws.com/ShopProfiles/24741.jpg,554,705,0
26249,THEOT,PALETTE,010-8515-6500,2F B30,https://sokodress.s3.ap-northeast-2.amazonaws.com/ShopProfiles/26249.jpg,666,905,13
25929,THEOT,hither,010-8206-1129,B1 J15,https://sokodress.s3.ap-northeast-2.amazonaws.com/ShopProfiles/25929.jpg,"1,068",473,0
23436,THEOT,TTUTTA,02-2117-4664,3F A11,https://sokodress.s3.ap-northeast-2.amazonaws.com/ShopProfiles/23436.jpg,"1,668","4,349",0
17584,THEOT,앙코르,02-2117-8992,B2 D07,https://sokodress.s3.ap-northeast-2.amazonaws.com/ShopProfiles/17584.jpg,571,"6,017",1
24783,THEOT,Jneeds,02-2117-4241,2F i-14,https://sokodress.s3.ap-northeast-2.amazonaws.com/ShopProfiles/24783.jpg,"1,424","4,644",2
5778,THEOT,LULLU12,02-2117-8213,B2 C20,https://sokodress.s3.ap-northeast-2.amazonaws.com/ShopProfiles/5778.jpg,"19,996","12,173",0
1777,THEOT,코코제이닛시,010-3114-4063,B2 F12,https://sokodress.s3.ap-northeast-2.amazonaws.com/ShopProfiles/1777.jpg,"10,006",723,1
19186,THEOT,VIVAL,02-2117-4556,2F D10,https://sokodress.s3.ap-northeast-2.amazonaws.com/ShopProfiles/19186.jpg,"6,168","9,848",6
24766,THEOT,에스크미어퀘스천,02-2117-8799,4F B19,https://sokodress.s3.ap-northeast-2.amazonaws.com/ShopProfiles/24766.jpg,"1,026",286,0
2193,THEOT,zombie collection,02-2117-8447,2F H26,https://sokodress.s3.ap-northeast-2.amazonaws.com/ShopProfiles/2193.jpg,"4,823","5,724",6
16086,THEOT,MOOD,010-5759-2740,B2 라3,https://sokodress.s3.ap-northeast-2.amazonaws.com/ShopProfiles/16086.jpg,"6,800","4,349",1
1456,THEOT,더 프라나,02-2117-8555,5F D-12호,https://sokodress.s3.ap-northeast-2.amazonaws.com/ShopProfiles/1456.jpg,"9,663","19,046",0
26727,THEOT,berrberr,010-6365-5599,3F H02,https://sokodress.s3.ap-northeast-2.amazonaws.com/ShopProfiles/26727.jpg,66,63,0
983,THEOT,BONANZA,02-2117-4017,B1 H18,https://sokodress.s3.ap-northeast-2.amazonaws.com/ShopProfiles/983.jpg,"5,989","5,956",3
4091,THEOT,J-factory,02-2117-4118,2F C05,https://sokodress.s3.ap-northeast-2.amazonaws.com/ShopProfiles/4091.jpg,"8,268","15,346",4
25726,THEOT,Dear my dear 디어마이디어,010-4869-5291,5F J-29호,https://sokodress.s3.ap-northeast-2.amazonaws.com/ShopProfiles/25726.jpg,488,113,0
21264,THEOT,for a day,02-2117-4450,3F i-16,https://sokodress.s3.ap-northeast-2.amazonaws.com/ShopProfiles/21264.jpg,"7,284","5,643",0
192,THEOT,COCOON,02-2117-4942,3F D10,https://sokodress.s3.ap-northeast-2.amazonaws.com/ShopProfiles/192.jpg,"8,154","2,034",643
22779,THEOT,facade,010-2999-0230,B1 C23,https://sokodress.s3.ap-northeast-2.amazonaws.com/ShopProfiles/22779.jpg,"2,392",764,0
23659,THEOT,S_Brimming,010-2902-3077,2F B22,https://sokodress.s3.ap-northeast-2.amazonaws.com/ShopProfiles/23659.jpg,"1,039","1,943",0
25341,THEOT,Origin오리진,010-3169-9263,4F C14,https://sokodress.s3.ap-northeast-2.amazonaws.com/ShopProfiles/25341.jpg,757,767,0
7629,THEOT,BoomBoom,02-2117-8139,1F i-14,https://sokodress.s3.ap-northeast-2.amazonaws.com/ShopProfiles/7629.jpg,"1,468","1,511",0
25723,THEOT,MEEL DE 멜드,010-3440-6963,5F A-05호,https://sokodress.s3.ap-northeast-2.amazonaws.com/ShopProfiles/25723.jpg,"1,569","1,824",0
3845,THEOT,엘로즈,010-4069-8535,2F J03,https://sokodress.s3.ap-northeast-2.amazonaws.com/ShopProfiles/3845.jpg,"3,936","7,963",1
2021,THEOT,BROS,010-3096-9338,ChungPyungHwa 5F 라21호,https://sokodress.s3.ap-northeast-2.amazonaws.com/ShopProfiles/2021.jpg,"17,496","2,377",0
9035,THEOT,SOEUN.E,010-4769-4842,1F G17,https://sokodress.s3.ap-northeast-2.amazonaws.com/ShopProfiles/9035.jpg,"4,146","2,351",6
19588,THEOT,NET,010-8686-5636,B1 L07-1,https://sokodress.s3.ap-northeast-2.amazonaws.com/ShopProfiles/19588.jpg,"2,442","2,391",1
22278,THEOT,DADA,02-2117-8269,B2 N20,https://sokodress.s3.ap-northeast-2.amazonaws.com/ShopProfiles/22278.jpg,"4,438","2,350",1
5798,THEOT,Kind,02-2117-4679,B2 E19,https://sokodress.s3.ap-northeast-2.amazonaws.com/ShopProfiles/5798.jpg,"7,656","1,308",42
25817,THEOT,SNS#,02-2117-8462,B2 N62,https://sokodress.s3.ap-northeast-2.amazonaws.com/ShopProfiles/25817.jpg,697,"3,402",9
18098,THEOT,Seouler,010-9759-2052,1F C13,https://sokodress.s3.ap-northeast-2.amazonaws.com/ShopProfiles/18098.jpg,"4,694","2,170",35
2466,THEOT,Marcia,02-2117-4535,B1 C11,https://sokodress.s3.ap-northeast-2.amazonaws.com/ShopProfiles/2466.jpg,"8,101","5,777",53
16850,THEOT,weather,02-2117-8831,4F A12,https://sokodress.s3.ap-northeast-2.amazonaws.com/ShopProfiles/16850.jpg,"4,430",157,0
23069,THEOT,us,02-2117-8081,B1 F21,https://sokodress.s3.ap-northeast-2.amazonaws.com/ShopProfiles/23069.jpg,"1,837","1,710",0
13248,THEOT,Bluestar(bluestar),02-2117-4495,1F i-20,https://sokodress.s3.ap-northeast-2.amazonaws.com/ShopProfiles/13248.jpg,"7,351","14,711",3
14853,THEOT,바이라니,02-2117-8040,4F C09,https://sokodress.s3.ap-northeast-2.amazonaws.com/ShopProfiles/14853.jpg,"5,511","5,857",0
21388,THEOT,Thebarn,010-2215-2219,2F A09,https://sokodress.s3.ap-northeast-2.amazonaws.com/ShopProfiles/21388.jpg,"1,104",92,0
2794,THEOT,DORI,02-2117-4859,4F i-01,https://sokodress.s3.ap-northeast-2.amazonaws.com/ShopProfiles/2794.jpg,"15,480","11,777",86
8981,THEOT,maniere,02-2117-4185,3F E15,https://sokodress.s3.ap-northeast-2.amazonaws.com/ShopProfiles/8981.jpg,"3,368","3,321",4
14751,THEOT,블랙번,010-9434-5137,B2 A07,https://sokodress.s3.ap-northeast-2.amazonaws.com/ShopProfiles/14751.jpg,"3,252","7,029",2
17981,THEOT,ALIKE,02-2117-8599,5F E-01호,https://sokodress.s3.ap-northeast-2.amazonaws.com/ShopProfiles/17981.jpg,"3,333","3,569",1
24364,THEOT,Brill.B,010-7979-1896,2F E11,https://sokodress.s3.ap-northeast-2.amazonaws.com/ShopProfiles/24364.jpg,931,209,0
16417,THEOT,Hurdling,02-2117-4604,3F H01,https://sokodress.s3.ap-northeast-2.amazonaws.com/ShopProfiles/16417.jpg,307,690,44
22945,THEOT,ratel,02-2117-4225,3F J25,https://sokodress.s3.ap-northeast-2.amazonaws.com/ShopProfiles/22945.jpg,"1,860","1,036",1
3124,THEOT,씨스타,02-2117-8326,4F E24,https://sokodress.s3.ap-northeast-2.amazonaws.com/ShopProfiles/3124.jpg,"4,786","4,269",8
4856,THEOT,december,02-2117-8271,3F J20,https://sokodress.s3.ap-northeast-2.amazonaws.com/ShopProfiles/4856.jpg,"4,107",372,0
2955,THEOT,레시피,010-2407-0817,5F E-24호,https://sokodress.s3.ap-northeast-2.amazonaws.com/ShopProfiles/2955.jpg,"10,664","13,147",0
16173,THEOT,라망,02-2117-4473,3F G16,https://sokodress.s3.ap-northeast-2.amazonaws.com/ShopProfiles/16173.jpg,"1,102","4,964",144
80,THEOT,EROOM,02-2117-8740,1F F01,https://sokodress.s3.ap-northeast-2.amazonaws.com/ShopProfiles/80.jpg,"4,221","4,720","1,106"
8248,THEOT,일미리,02-2117-4468,B2 D15,https://sokodress.s3.ap-northeast-2.amazonaws.com/ShopProfiles/8248.jpg,"13,044","14,913",48
12910,THEOT,lissome,02-2117-4908,B2 B14,https://sokodress.s3.ap-northeast-2.amazonaws.com/ShopProfiles/12910.jpg,"14,885","7,477",0
2934,THEOT,모르핀,02-2117-4012,5F A-23호,https://sokodress.s3.ap-northeast-2.amazonaws.com/ShopProfiles/2934.jpg,"12,245","1,993",6
17456,THEOT,THEAILE,010-3719-4120,B1 L02,https://sokodress.s3.ap-northeast-2.amazonaws.com/ShopProfiles/17456.jpg,"1,809","2,384",3
1733,THEOT,BY.Honey.,02-2117-4948,B2 G11,https://sokodress.s3.ap-northeast-2.amazonaws.com/ShopProfiles/1733.jpg,"16,108",759,39
7444,THEOT,AA,010-7979-7637,Nam Pyunghwa 2F 1호,https://sokodress.s3.ap-northeast-2.amazonaws.com/ShopProfiles/7444.jpg,"2,971","1,281",0
17342,THEOT,million,02-2117-4246,2F F08,https://sokodress.s3.ap-northeast-2.amazonaws.com/ShopProfiles/17342.jpg,"3,622",802,0
8740,THEOT,IGOTC,010-3410-8422,1F C22,https://sokodress.s3.ap-northeast-2.amazonaws.com/ShopProfiles/8740.jpg,"4,396","2,022",1
