store_id_num,sangga_name,store_name,store_phone,store_address,store_aws_image,accounts,number_of_total_products,accounts_products
25403,Jeil Pyunghwa,셀라,010-4394-2975,5F 76,https://sokodress.s3.ap-northeast-2.amazonaws.com/ShopProfiles/25403.jpg,496,"1,606",1
22165,Jeil Pyunghwa,olivej j,02-2254-2379,2F 71호,https://sokodress.s3.ap-northeast-2.amazonaws.com/ShopProfiles/22165.jpg,319,739,0
17503,Jeil Pyunghwa,끌로델,02-2232-9568,1F 19호,https://sokodress.s3.ap-northeast-2.amazonaws.com/ShopProfiles/17503.jpg,445,"1,335",0
18479,Jeil Pyunghwa,블루신스,02-2253-2483,1F 83호,https://sokodress.s3.ap-northeast-2.amazonaws.com/ShopProfiles/18479.jpg,602,506,0
16328,Jeil Pyunghwa,리썸,010-9788-8995,5F 118,https://sokodress.s3.ap-northeast-2.amazonaws.com/ShopProfiles/16328.jpg,"2,923","1,462",4
13499,Jeil Pyunghwa,dk,02-2252-2409,Belpost 1F 64호,https://sokodress.s3.ap-northeast-2.amazonaws.com/ShopProfiles/13499.jpg,175,579,1
13186,Jeil Pyunghwa,KENT,02-2232-1050,3F 95호,https://sokodress.s3.ap-northeast-2.amazonaws.com/ShopProfiles/13186.jpg,"3,109","4,471",10
21866,Jeil Pyunghwa,리리끄,010-4666-6278,3F 160호,https://sokodress.s3.ap-northeast-2.amazonaws.com/ShopProfiles/21866.jpg,891,127,1
20549,Jeil Pyunghwa,Ant,010-8798-8111,3F 197호,https://sokodress.s3.ap-northeast-2.amazonaws.com/ShopProfiles/20549.jpg,"1,920",224,17
14926,Jeil Pyunghwa,디비제이,010-6336-3277,4F 79,https://sokodress.s3.ap-northeast-2.amazonaws.com/ShopProfiles/14926.jpg,"6,131","13,479",1
13695,Jeil Pyunghwa,f2nd,010-3355-8299,B1 334호,https://sokodress.s3.ap-northeast-2.amazonaws.com/ShopProfiles/13695.jpg,"3,094","6,234",0
24982,Jeil Pyunghwa,센티먼트 SENTIMENT,010-6847-7599,2F 127호,https://sokodress.s3.ap-northeast-2.amazonaws.com/ShopProfiles/24982.jpg,"1,155","1,301",3
24751,Jeil Pyunghwa,LYRIQUE,010-7145-5521,1F 87호,https://sokodress.s3.ap-northeast-2.amazonaws.com/ShopProfiles/24751.jpg,652,510,0
25072,Jeil Pyunghwa,TheQueen더퀸,02-2236-5467,1F 56호,https://sokodress.s3.ap-northeast-2.amazonaws.com/ShopProfiles/25072.jpg,151,481,0
5633,Jeil Pyunghwa,글로리,010-7656-9944,2F 47호,https://sokodress.s3.ap-northeast-2.amazonaws.com/ShopProfiles/5633.jpg,"2,460",248,1
24633,Jeil Pyunghwa,메이비,02-2231-6645,4F 47,https://sokodress.s3.ap-northeast-2.amazonaws.com/ShopProfiles/24633.jpg,"1,671",123,0
6613,Jeil Pyunghwa,루디아,010-2518-2372,2F 54호,https://sokodress.s3.ap-northeast-2.amazonaws.com/ShopProfiles/6613.jpg,"6,725","3,979",2
17722,Jeil Pyunghwa,OF YOUR OWN,010-7259-6306,3F 108호,https://sokodress.s3.ap-northeast-2.amazonaws.com/ShopProfiles/17722.jpg,"1,218",38,0
12727,Jeil Pyunghwa,미체,02-2237-3164,3F 132호,https://sokodress.s3.ap-northeast-2.amazonaws.com/ShopProfiles/12727.jpg,"4,246","1,394","1,322"
21750,Jeil Pyunghwa,DIAFRIMO,02-2235-0880,2F 107호,https://sokodress.s3.ap-northeast-2.amazonaws.com/ShopProfiles/21750.jpg,617,344,0
24675,Jeil Pyunghwa,홀리,010-2179-7477,4F 21,https://sokodress.s3.ap-northeast-2.amazonaws.com/ShopProfiles/24675.jpg,"1,217",334,1
21702,Jeil Pyunghwa,소고,02-2237-9877,1F 86호,https://sokodress.s3.ap-northeast-2.amazonaws.com/ShopProfiles/21702.jpg,252,425,0
12584,Jeil Pyunghwa,컨슈머,02-2233-7354,2F 113호,https://sokodress.s3.ap-northeast-2.amazonaws.com/ShopProfiles/12584.jpg,"11,115","20,257",24
25458,Jeil Pyunghwa,THEANY(더애니),02-2232-2101,APM 1F 19,https://sokodress.s3.ap-northeast-2.amazonaws.com/ShopProfiles/25458.jpg,509,"1,260",6
21204,Jeil Pyunghwa,트윔,010-2900-2170,2F 70호,https://sokodress.s3.ap-northeast-2.amazonaws.com/ShopProfiles/21204.jpg,653,"1,085",33
18914,Jeil Pyunghwa,ROOM,02-2256-2331,3F 173호,https://sokodress.s3.ap-northeast-2.amazonaws.com/ShopProfiles/18914.jpg,709,333,0
24508,Jeil Pyunghwa,Laube,02-2235-3741,2F 36호,https://sokodress.s3.ap-northeast-2.amazonaws.com/ShopProfiles/24508.jpg,500,125,0
12138,Jeil Pyunghwa,LONE,02-2252-9433,4F 81,https://sokodress.s3.ap-northeast-2.amazonaws.com/ShopProfiles/12138.jpg,520,736,0
7915,Jeil Pyunghwa,edge,02-2236-1599,B1 95호,https://sokodress.s3.ap-northeast-2.amazonaws.com/ShopProfiles/7915.jpg,458,848,1
7759,Jeil Pyunghwa,보아스,010-9463-4005,4F 74,https://sokodress.s3.ap-northeast-2.amazonaws.com/ShopProfiles/7759.jpg,488,83,0
10439,Jeil Pyunghwa,souL,02-2231-1611,3F 167호,https://sokodress.s3.ap-northeast-2.amazonaws.com/ShopProfiles/10439.jpg,"2,915",534,0
19859,Jeil Pyunghwa,matahari,010-6614-5885,3F 59호,https://sokodress.s3.ap-northeast-2.amazonaws.com/ShopProfiles/19859.jpg,"3,084","1,636",8
15225,Jeil Pyunghwa,더스틴,010-7534-1076,4F 65,https://sokodress.s3.ap-northeast-2.amazonaws.com/ShopProfiles/15225.jpg,"5,876",106,0
10263,Jeil Pyunghwa,올드레스,02-2252-0789,4F 115,https://sokodress.s3.ap-northeast-2.amazonaws.com/ShopProfiles/10263.jpg,"6,568",36,0
