store_id_num,sangga_name,store_name,store_phone,store_address,store_aws_image,accounts,number_of_total_products,accounts_products
4871,ChungPyungHwa,ILOVETEE,010-3028-0785,4F A8호,https://sokodress.s3.ap-northeast-2.amazonaws.com/ShopProfiles/4871.jpg,"4,440",337,0
2168,ChungPyungHwa,바이분,02-2233-0538,1F 라34호,https://sokodress.s3.ap-northeast-2.amazonaws.com/ShopProfiles/2168.jpg,"2,508","2,539",25
2045,ChungPyungHwa,Lucy,02-2231-5893,B1 다22호,https://sokodress.s3.ap-northeast-2.amazonaws.com/ShopProfiles/2045.jpg,"1,875","1,602",0
10701,ChungPyungHwa,byJ,02-2254-4002,1F 나8호,https://sokodress.s3.ap-northeast-2.amazonaws.com/ShopProfiles/10701.jpg,"1,736","1,739",3
19880,ChungPyungHwa,Lounge21,010-9688-3082,5F 나35호,https://sokodress.s3.ap-northeast-2.amazonaws.com/ShopProfiles/19880.jpg,"1,380",363,0
983,ChungPyungHwa,BONANZA,02-2117-4017,THEOT B1 H18,https://sokodress.s3.ap-northeast-2.amazonaws.com/ShopProfiles/983.jpg,"5,989","5,955",3
13914,ChungPyungHwa,warm,02-2233-1735,5F 다5호,https://sokodress.s3.ap-northeast-2.amazonaws.com/ShopProfiles/13914.jpg,"6,747","2,259",2
4380,ChungPyungHwa,BETTY,010-4599-2325,4F A6호,https://sokodress.s3.ap-northeast-2.amazonaws.com/ShopProfiles/4380.jpg,879,90,0
25598,ChungPyungHwa,달달daldal,010-4913-1110,4F D46호,https://sokodress.s3.ap-northeast-2.amazonaws.com/ShopProfiles/25598.jpg,285,878,0
504,ChungPyungHwa,ChocoGirl,02-2252-8998,4F B12호,https://sokodress.s3.ap-northeast-2.amazonaws.com/ShopProfiles/504.jpg,"2,951","3,014",3
1480,ChungPyungHwa,boll touch,02-2233-0980,B1 나32호,https://sokodress.s3.ap-northeast-2.amazonaws.com/ShopProfiles/1480.jpg,"2,636","4,710",470
24839,ChungPyungHwa,단심이,010-3170-9996,2F 다28호,https://sokodress.s3.ap-northeast-2.amazonaws.com/ShopProfiles/24839.jpg,504,"1,380",8
26191,ChungPyungHwa,cm,010-3234-1507,B1 나22호,https://sokodress.s3.ap-northeast-2.amazonaws.com/ShopProfiles/26191.jpg,333,370,0
22642,ChungPyungHwa,큐,010-5895-5754,2F 가26호,https://sokodress.s3.ap-northeast-2.amazonaws.com/ShopProfiles/22642.jpg,922,"7,210",2
23613,ChungPyungHwa,모스트,010-5067-4157,2F 가29호,https://sokodress.s3.ap-northeast-2.amazonaws.com/ShopProfiles/23613.jpg,168,868,0
3830,ChungPyungHwa,Circle,010-4180-3690,5F 나24호,https://sokodress.s3.ap-northeast-2.amazonaws.com/ShopProfiles/3830.jpg,"5,261","2,274",4
23964,ChungPyungHwa,sooyounlim,010-8319-0580,1F 라12호,https://sokodress.s3.ap-northeast-2.amazonaws.com/ShopProfiles/23964.jpg,30,47,0
3647,ChungPyungHwa,이태리,02-2232-7238,3F 나18호,https://sokodress.s3.ap-northeast-2.amazonaws.com/ShopProfiles/3647.jpg,456,117,0
17895,ChungPyungHwa,tfarm,02-2235-0519,5F 가46호,https://sokodress.s3.ap-northeast-2.amazonaws.com/ShopProfiles/17895.jpg,"9,605",676,0
13401,ChungPyungHwa,O8Ra,010-9979-8942,5F 다3호,https://sokodress.s3.ap-northeast-2.amazonaws.com/ShopProfiles/13401.jpg,"3,749","3,304",3
4746,ChungPyungHwa,JJQ,02-2235-7106,2F 나5호,https://sokodress.s3.ap-northeast-2.amazonaws.com/ShopProfiles/4746.jpg,567,"1,432",2
21743,ChungPyungHwa,suna,02-2237-8506,5F 라23호,https://sokodress.s3.ap-northeast-2.amazonaws.com/ShopProfiles/21743.jpg,"2,429","1,247",0
