shop_name,sizang_name,sangga_name,shop_address,shop_phone,product_cate_case,product_unique_id,product_name,product_checkbox_category,product_category_1,product_category_2,product_category_3,product_price,product_made,product_image_url,product_style,product_size,product_maxrate,product_seethrough,product_elasticity,product_lining,product_fitting,product_color,product_link
가나다,동대문,테크노,"TECHNO-1-114,115",TEL : 02-2232-2506 (HP : 010-2544-2506),194,1117624,꽈부클지퍼Y,OUTER,여성 의류,탑,티/탑,11000,대한민국,"https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1117624_0.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1117624_1.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1117624_2.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1117624_3.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1117624_4.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1117624_5.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1117624_6.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1117624_7.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1117624_8.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1117624_9.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1117624_10.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1117624_11.jpg","캐주얼,어반/모던,심플/베이직",총장 46cm/ 어깨 44cm/ 가슴 46cm/ 소매 53cm,아크릴100,약간비침,좋음,없음,베이직,"BEIGE,BLACK,GRAY,IVORY",http://www.ddmmarket.co.kr/Prod?m=S&c=T111400510
가나다,동대문,테크노,"TECHNO-1-114,115",TEL : 02-2232-2506 (HP : 010-2544-2506),194,1117429,슬라브볼레로,OUTER,여성 의류,기타,,7000,대한민국,"https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1117429_0.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1117429_1.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1117429_2.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1117429_3.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1117429_4.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1117429_5.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1117429_6.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1117429_7.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1117429_8.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1117429_9.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1117429_10.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1117429_11.jpg","캐주얼,어반/모던,심플/베이직",총장 45cm/ 가슴 48cm/ 어깨소매 80cm,아크릴100,약간비침,좋음,없음,베이직,"BEIGE,GRAY,PINK,SKYBLUE,WHITE",http://www.ddmmarket.co.kr/Prod?m=S&c=T111400510
가나다,동대문,테크노,"TECHNO-1-114,115",TEL : 02-2232-2506 (HP : 010-2544-2506),194,1117428,삼볼레로,OUTER,여성 의류,기타,,8000,대한민국,"https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1117428_0.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1117428_1.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1117428_2.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1117428_3.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1117428_4.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1117428_5.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1117428_6.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1117428_7.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1117428_8.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1117428_9.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1117428_10.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1117428_11.jpg","캐주얼,어반/모던,심플/베이직",총장 31cm/ 가슴 52cm/ 어깨소매 77cm,아크릴100,없음,좋음,없음,베이직,"BLACK,CHESTNUTBROWN,PURPLE-2,WHITE,YELLOW",http://www.ddmmarket.co.kr/Prod?m=S&c=T111400510
가나다,동대문,테크노,"TECHNO-1-114,115",TEL : 02-2232-2506 (HP : 010-2544-2506),194,1117426,망끈롱조끼,OUTER,여성 의류,아우터,조끼,10000,대한민국,"https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1117426_0.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1117426_1.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1117426_2.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1117426_3.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1117426_4.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1117426_5.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1117426_6.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1117426_7.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1117426_8.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1117426_9.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1117426_10.jpg","캐주얼,어반/모던,심플/베이직",총장 68-72cm/ 어깨 37cm/ 가슴 42cm,아크릴100,약간비침,좋음,없음,루즈핏,"BEIGE,BLACK,BLUE---2,MINT,PINK,WHITE",http://www.ddmmarket.co.kr/Prod?m=S&c=T111400510
가나다,동대문,테크노,"TECHNO-1-114,115",TEL : 02-2232-2506 (HP : 010-2544-2506),194,1116202,자라끈Y,OUTER,여성 의류,탑,티/탑,9000,대한민국,"https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1116202_0.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1116202_1.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1116202_2.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1116202_3.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1116202_4.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1116202_5.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1116202_6.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1116202_7.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1116202_8.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1116202_9.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1116202_10.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1116202_11.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1116202_12.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1116202_13.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1116202_14.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1116202_15.jpg","캐주얼,어반/모던,심플/베이직","총장 앞 43cm, 뒤 38cm/ 가슴 71cm/ 어깨소매 78cm",아크릴100,약간비침,좋음,없음,베이직,"BEIGE,BLACK,CHESTNUTBROWN,KHAKI,WHITE",http://www.ddmmarket.co.kr/Prod?m=S&c=T111400510
가나다,동대문,테크노,"TECHNO-1-114,115",TEL : 02-2232-2506 (HP : 010-2544-2506),194,1115877,쥬스Y,OUTER,여성 의류,탑,티/탑,8000,대한민국,"https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1115877_0.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1115877_1.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1115877_2.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1115877_3.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1115877_4.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1115877_5.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1115877_6.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1115877_7.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1115877_8.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1115877_9.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1115877_10.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1115877_11.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1115877_12.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1115877_13.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1115877_14.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1115877_15.jpg","캐주얼,어반/모던,심플/베이직",총장 45cm/ 어깨 41cm/ 가슴 45cm/ 소매 53cm,아크릴85 폴리15,약간비침,좋음,없음,베이직,"BEIGE,BLACK,CHESTNUTBROWN,MINT,WHITE",http://www.ddmmarket.co.kr/Prod?m=S&c=T111400510
가나다,동대문,테크노,"TECHNO-1-114,115",TEL : 02-2232-2506 (HP : 010-2544-2506),194,1115872,나뭇잎조끼,OUTER,여성 의류,아우터,조끼,9000,대한민국,"https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1115872_0.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1115872_1.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1115872_2.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1115872_3.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1115872_4.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1115872_5.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1115872_6.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1115872_7.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1115872_8.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1115872_9.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1115872_10.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1115872_11.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1115872_12.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1115872_13.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1115872_14.jpg","캐주얼,어반/모던,심플/베이직",총장 53cm/ 어깨 41cm/ 가슴 49cm,아크릴85 폴리15,약간비침,좋음,없음,베이직,"BEIGE,BLACK,CHESTNUTBROWN,KHAKI,WHITE",http://www.ddmmarket.co.kr/Prod?m=S&c=T111400510
가나다,동대문,테크노,"TECHNO-1-114,115",TEL : 02-2232-2506 (HP : 010-2544-2506),194,1115871,2단추조끼,OUTER,여성 의류,아우터,조끼,9000,대한민국,"https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1115871_0.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1115871_1.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1115871_2.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1115871_3.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1115871_4.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1115871_5.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1115871_6.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1115871_7.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1115871_8.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1115871_9.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1115871_10.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1115871_11.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1115871_12.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1115871_13.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1115871_14.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1115871_15.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1115871_16.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1115871_17.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1115871_18.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1115871_19.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1115871_20.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1115871_21.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1115871_22.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1115871_23.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1115871_24.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1115871_25.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1115871_26.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1115871_27.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1115871_28.jpg","캐주얼,어반/모던,심플/베이직",총장 53cm/ 어깨 44cm/ 가슴 49cm,아크릴85 폴리15,없음,좋음,없음,베이직,"BEIGE,BLACK,GREEN,PINK,SKYBLUE,WHITE",http://www.ddmmarket.co.kr/Prod?m=S&c=T111400510
가나다,동대문,테크노,"TECHNO-1-114,115",TEL : 02-2232-2506 (HP : 010-2544-2506),194,1114861,해피꽈RY,OUTER,여성 의류,탑,티/탑,10000,대한민국,"https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1114861_0.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1114861_1.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1114861_2.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1114861_3.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1114861_4.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1114861_5.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1114861_6.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1114861_7.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1114861_8.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1114861_9.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1114861_10.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1114861_11.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1114861_12.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1114861_13.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1114861_14.jpg","캐주얼,어반/모던,심플/베이직",총장 47cm/ 어깨 38cm/ 가슴 51cm/ 소매 61cm,아크릴100,없음,좋음,없음,베이직,"BEIGE,IVORY,MINT,NAVY,PINK,YELLOW",http://www.ddmmarket.co.kr/Prod?m=S&c=T111400510
가나다,동대문,테크노,"TECHNO-1-114,115",TEL : 02-2232-2506 (HP : 010-2544-2506),194,1114858,골드단추꽈Y,OUTER,여성 의류,탑,티/탑,10000,대한민국,"https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1114858_0.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1114858_1.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1114858_2.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1114858_3.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1114858_4.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1114858_5.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1114858_6.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1114858_7.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1114858_8.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1114858_9.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1114858_10.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1114858_11.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1114858_12.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1114858_13.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1114858_14.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1114858_15.jpg","캐주얼,어반/모던,심플/베이직",총장 49cm/ 어깨 42cm/ 가슴 49cm/ 소매 62cm,아크릴100,없음,좋음,없음,베이직,"BEIGE,BLACK,IVORY,SKYBLUE,YELLOW",http://www.ddmmarket.co.kr/Prod?m=S&c=T111400510
