shop_name,sizang_name,sangga_name,shop_address,shop_phone,product_cate_case,product_unique_id,product_name,product_checkbox_category,product_category_1,product_category_2,product_category_3,product_price,product_made,product_image_url,product_style,product_size,product_maxrate,product_seethrough,product_elasticity,product_lining,product_fitting,product_color,product_link
더이태리,동대문,청평화,CPH-3-나-18,TEL : 02-2232-7238 (HP : 010-3159-1177),52,1118392,끈배기PT,BOTTOM,여성 의류,하의,바지,23000,대한민국,"https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1118392_0.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1118392_1.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1118392_2.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1118392_3.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1118392_4.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1118392_5.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1118392_6.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1118392_7.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1118392_8.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1118392_9.jpg","오피스,어반/모던,심플/베이직","F 총장 87cm/ 허리 34cm/ 힙 48cm/ 밑위 29cm/ 밑단 15cm
L 총장 88cm/ 허리 36cm/ 힙 50cm/ 밑위 30cm/ 밑단 16cm",폴리90 스판10,없음,좋음,없음,베이직,"BLACK,BLACK, L,NAVY,NAVY, L",http://www.ddmmarket.co.kr/Prod?m=S&c=C3NA180483
더이태리,동대문,청평화,CPH-3-나-18,TEL : 02-2232-7238 (HP : 010-3159-1177),52,1118175,띠어리PT,BOTTOM,여성 의류,하의,바지,20000,대한민국,"https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1118175_0.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1118175_1.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1118175_2.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1118175_3.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1118175_4.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1118175_5.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1118175_6.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1118175_7.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1118175_8.jpg","캐주얼,어반/모던,심플/베이직","S-총장 89cm/ 허리 31cm/ 힙 45cm/ 밑위 24cm/ 밑단 15cm
M-총장 90cm/ 허리 33cm/ 힙 47cm/ 밑위 25cm/ 밑단 16cm
L-총장 91cm/ 허리 35cm/ 힙 49cm/ 밑위 26cm/ 밑단 17cm",폴리90 스판10,없음,약간,없음,베이직,"BLACK, S,BLACK, M,BLACK, L",http://www.ddmmarket.co.kr/Prod?m=S&c=C3NA180483
더이태리,동대문,청평화,CPH-3-나-18,TEL : 02-2232-7238 (HP : 010-3159-1177),52,1118174,옆트임부츠컷,BOTTOM,여성 의류,하의,바지,20000,대한민국,"https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1118174_0.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1118174_1.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1118174_2.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1118174_3.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1118174_4.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1118174_5.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1118174_6.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1118174_7.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1118174_8.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1118174_9.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1118174_10.jpg","캐주얼,어반/모던,심플/베이직","S-총장 90cm/ 허리 31cm/ 힙 44cm/ 밑위 24cm/ 밑단 20cm
M-총장 91cm/ 허리 33cm/ 힙 46cm/ 밑위 25cm/ 밑단 21cm
L-총장 92cm/ 허리 35cm/ 힙 48cm/ 밑위 26cm/ 밑단 22cm",폴리90 스판10,없음,좋음,없음,베이직,"BLACK, S,BLACK, M,BLACK, L",http://www.ddmmarket.co.kr/Prod?m=S&c=C3NA180483
더이태리,동대문,청평화,CPH-3-나-18,TEL : 02-2232-7238 (HP : 010-3159-1177),52,1118173,카고조거PT,BOTTOM,여성 의류,하의,바지,23000,대한민국,"https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1118173_0.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1118173_1.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1118173_2.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1118173_3.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1118173_4.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1118173_5.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1118173_6.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1118173_7.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1118173_8.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1118173_9.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1118173_10.jpg","어반/모던,심플/베이직","free-총장 93cm/ 허리 34cm/ 힙 47cm/ 밑위 30cm/ 밑단 13cm
L-총장 94cm/ 허리 36cm/ 힙 49cm/ 밑위 31cm/ 밑단 14cm",나일론93 스판7,없음,좋음,없음,베이직,"BLACK,BLACK, L,KHAKI,KHAKI, L",http://www.ddmmarket.co.kr/Prod?m=S&c=C3NA180483
더이태리,동대문,청평화,CPH-3-나-18,TEL : 02-2232-7238 (HP : 010-3159-1177),52,1117639,기본부츠컷,BOTTOM,여성 의류,하의,바지,20000,대한민국,"https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1117639_0.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1117639_1.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1117639_2.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1117639_3.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1117639_4.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1117639_5.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1117639_6.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1117639_7.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1117639_8.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1117639_9.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1117639_10.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1117639_11.jpg","어반/모던,심플/베이직","S 총장 89cm/ 허리 31cm/ 힙 45cm/ 밑위 24cm/ 밑단 20cm
M 총장 90cm/ 허리 33cm/ 힙 47cm/ 밑위 25cm/ 밑단 21cm
L 총장 91cm/ 허리 35cm/ 힙 49cm/ 밑위 26cm/ 밑단 22cm",폴리90 스판10,없음,약간,없음,베이직,"BLACK, S,BLACK, M,BLACK, L,CREAM, S,CREAM, M,CREAM, L,NAVY, S,NAVY, M,NAVY, L",http://www.ddmmarket.co.kr/Prod?m=S&c=C3NA180483
더이태리,동대문,청평화,CPH-3-나-18,TEL : 02-2232-7238 (HP : 010-3159-1177),52,1117638,구호조거PT,BOTTOM,여성 의류,하의,바지,21000,대한민국,"https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1117638_0.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1117638_1.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1117638_2.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1117638_3.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1117638_4.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1117638_5.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1117638_6.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1117638_7.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1117638_8.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1117638_9.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1117638_10.jpg","어반/모던,심플/베이직","F 총장 88-91cm/ 허리 33cm/ 힙 46cm/ 밑위 31cm/ 밑단 14cm
L 총장 89-92cm/ 허리 35cm/ 힙 48cm/ 밑위 32cm/ 밑단 15cm",폴리97 스판3,없음,약간,없음,베이직,"BLACK,BLACK, L,DARKBEIGE,DARKBEIGE, L,IVORY,IVORY, L",http://www.ddmmarket.co.kr/Prod?m=S&c=C3NA180483
더이태리,동대문,청평화,CPH-3-나-18,TEL : 02-2232-7238 (HP : 010-3159-1177),52,1117467,카고와이드PT,BOTTOM,여성 의류,하의,바지,25000,대한민국,"https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1117467_0.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1117467_1.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1117467_2.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1117467_3.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1117467_4.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1117467_5.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1117467_6.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1117467_7.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1117467_8.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1117467_9.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1117467_10.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1117467_11.jpg","어반/모던,심플/베이직","FREE - 총장 94cm/ 허리 32cm/ 힙 46cm/ 밑위 28cm/ 밑단 23cm
L - 총장 95cm/ 허리 34cm/ 힙 48cm/ 밑위 29cm/ 밑단 24cm",나일론93 스판7,없음,좋음,없음,루즈핏,"BEIGE,BEIGE, L,BLACK,BLACK, L,KHAKI,KHAKI, L",http://www.ddmmarket.co.kr/Prod?m=S&c=C3NA180483
더이태리,동대문,청평화,CPH-3-나-18,TEL : 02-2232-7238 (HP : 010-3159-1177),52,1117466,디올와이드PT,BOTTOM,여성 의류,하의,바지,22000,대한민국,"https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1117466_0.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1117466_1.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1117466_2.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1117466_3.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1117466_4.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1117466_5.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1117466_6.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1117466_7.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1117466_8.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1117466_9.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1117466_10.jpg","어반/모던,심플/베이직","S - 총장 92cm/ 허리 32cm/ 힙 42cm/ 밑위 30cm/ 밑단 22cm
M - 총장 93cm/ 허리 34cm/ 힙 44cm/ 밑위 31cm/ 밑단 23cm
L - 총장 94cm/ 허리 36cm/ 힙 46cm/ 밑위 32cm/ 밑단 24cm",폴리100,없음,없음,없음,베이직,"BLACK, S,BLACK, M,BLACK, L,CREAM, S,CREAM, M,CREAM, L",http://www.ddmmarket.co.kr/Prod?m=S&c=C3NA180483
더이태리,동대문,청평화,CPH-3-나-18,TEL : 02-2232-7238 (HP : 010-3159-1177),52,1117465,모던와이드PT,BOTTOM,여성 의류,하의,바지,22000,대한민국,"https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1117465_0.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1117465_1.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1117465_2.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1117465_3.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1117465_4.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1117465_5.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1117465_6.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1117465_7.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1117465_8.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1117465_9.jpg","캐주얼,어반/모던,심플/베이직","S 총장 87cm/ 허리 31cm/ 힙 41cm/ 밑위 29cm/ 밑단 22cm
M 총장 88cm/ 허리 33cm/ 힙 43cm/ 밑위 30cm/ 밑단 23cm
L 총장 89cm/ 허리 35cm/ 힙 45cm/ 밑위 31cm/ 밑단 24cm",폴리100,없음,없음,없음,베이직,"BLACK, S,BLACK, M,BLACK, L,CREAM, S,CREAM, M,CREAM, L",http://www.ddmmarket.co.kr/Prod?m=S&c=C3NA180483
더이태리,동대문,청평화,CPH-3-나-18,TEL : 02-2232-7238 (HP : 010-3159-1177),52,1117464,반배기PT,BOTTOM,여성 의류,하의,바지,19000,대한민국,"https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1117464_0.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1117464_1.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1117464_2.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1117464_3.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1117464_4.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1117464_5.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1117464_6.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1117464_7.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1117464_8.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1117464_9.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1117464_10.jpg","어반/모던,심플/베이직","FREE - 총장 85cm/ 허리 31cm/ 힙 45cm/ 밑위 29cm/ 밑단 14cm
L - 총장 86cm/ 허리 33cm/ 힙 47cm/ 밑위 30cm/ 밑단 15cm",나일론76 면20 스판4,없음,없음,없음,루즈핏,"BEIGE,BEIGE, L,BLACK,BLACK, L,BROWN,BROWN, L",http://www.ddmmarket.co.kr/Prod?m=S&c=C3NA180483
