shop_name,sizang_name,sangga_name,shop_address,shop_phone,product_cate_case,product_unique_id,product_name,product_checkbox_category,product_category_1,product_category_2,product_category_3,product_price,product_made,product_image_url,product_style,product_size,product_maxrate,product_seethrough,product_elasticity,product_lining,product_fitting,product_color,product_link
퍼플,동대문,디오트,DOT-4-H-1,TEL : 02-2117-4560 (HP : 010-3391-4560),233,1101702,제이자켓,OUTER,여성 의류,아우터,자켓,45000,대한민국,"https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1101702_0.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1101702_1.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1101702_2.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1101702_3.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1101702_4.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1101702_5.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1101702_6.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1101702_7.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1101702_8.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1101702_9.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1101702_10.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1101702_11.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1101702_12.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1101702_13.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1101702_14.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1101702_15.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1101702_16.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1101702_17.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1101702_18.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1101702_19.jpg",캐주얼,총장 47cm/ 어깨 38cm/ 가슴 47cm/ 소매 60cm,나일론65 메탈35,없음,없음,전체안감,베이직,WHITE,http://www.ddmmarket.co.kr/Prod?m=S&c=D4H1000435
퍼플,동대문,디오트,DOT-4-H-1,TEL : 02-2117-4560 (HP : 010-3391-4560),233,1101037,샤조끼,OUTER,여성 의류,아우터,조끼,53000,대한민국,"https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1101037_0.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1101037_1.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1101037_2.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1101037_3.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1101037_4.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1101037_5.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1101037_6.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1101037_7.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1101037_8.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1101037_9.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1101037_10.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1101037_11.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1101037_12.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1101037_13.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1101037_14.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1101037_15.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1101037_16.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1101037_17.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1101037_18.jpg","미시,어반/모던",총장 60cm/ 어깨 39cm/ 가슴 55cm,폴리100,없음,없음,없음,베이직,"BEIGE,PINK",http://www.ddmmarket.co.kr/Prod?m=S&c=D4H1000435
퍼플,동대문,디오트,DOT-4-H-1,TEL : 02-2117-4560 (HP : 010-3391-4560),233,1101036,벅스자켓,OUTER,여성 의류,아우터,자켓,38000,대한민국,"https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1101036_0.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1101036_1.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1101036_2.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1101036_3.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1101036_4.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1101036_5.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1101036_6.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1101036_7.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1101036_8.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1101036_9.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1101036_10.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1101036_11.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1101036_12.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1101036_13.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1101036_14.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1101036_15.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1101036_16.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1101036_17.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1101036_18.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1101036_19.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1101036_20.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1101036_21.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1101036_22.jpg",캐주얼,총장 52cm/ 가슴 55cm/ 어깨소매 78cm,나일론100,없음,없음,없음,베이직,"BLACK,IVORY",http://www.ddmmarket.co.kr/Prod?m=S&c=D4H1000435
퍼플,동대문,디오트,DOT-4-H-1,TEL : 02-2117-4560 (HP : 010-3391-4560),233,1100611,톰자켓,OUTER,여성 의류,아우터,자켓,49000,대한민국,"https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1100611_0.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1100611_1.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1100611_2.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1100611_3.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1100611_4.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1100611_5.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1100611_6.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1100611_7.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1100611_8.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1100611_9.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1100611_10.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1100611_11.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1100611_12.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1100611_13.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1100611_14.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1100611_15.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1100611_16.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1100611_17.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1100611_18.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1100611_19.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1100611_20.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1100611_21.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1100611_22.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1100611_23.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1100611_24.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1100611_25.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1100611_26.jpg",캐주얼,총장 51cm/ 가슴 60cm/ 어깨소매 78cm,폴리우레탄 100,없음,약간,없음,베이직,"BLUE,CREAM,PINK",http://www.ddmmarket.co.kr/Prod?m=S&c=D4H1000435
퍼플,동대문,디오트,DOT-4-H-1,TEL : 02-2117-4560 (HP : 010-3391-4560),233,1099056,윙스집업,OUTER,여성 의류,기타,,21000,대한민국,"https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1099056_0.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1099056_1.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1099056_2.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1099056_3.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1099056_4.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1099056_5.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1099056_6.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1099056_7.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1099056_8.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1099056_9.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1099056_10.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1099056_11.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1099056_12.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1099056_13.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1099056_14.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1099056_15.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1099056_16.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1099056_17.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1099056_18.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1099056_19.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1099056_20.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1099056_21.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1099056_22.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1099056_23.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1099056_24.jpg",캐주얼,총장 68cm/ 가슴 61cm/ 어깨소매 70cm,나일론100%,없음,없음,없음,베이직,"BLACK,IVORY,MINT,PINK",http://www.ddmmarket.co.kr/Prod?m=S&c=D4H1000435
퍼플,동대문,디오트,DOT-4-H-1,TEL : 02-2117-4560 (HP : 010-3391-4560),233,1082156,너프린넨JK,OUTER,여성 의류,아우터,자켓,15000,대한민국,"https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1082156_0.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1082156_1.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1082156_2.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1082156_3.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1082156_4.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1082156_5.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1082156_6.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1082156_7.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1082156_8.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1082156_9.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1082156_10.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1082156_11.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1082156_12.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1082156_13.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1082156_14.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1082156_15.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1082156_16.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1082156_17.jpg",캐주얼,총장 57cm/ 어깨 49cm/ 가슴 65cm/ 소매 25cm,린넨55 면45,없음,없음,없음,베이직,"BEIGE,WHITE",http://www.ddmmarket.co.kr/Prod?m=S&c=D4H1000435
퍼플,동대문,디오트,DOT-4-H-1,TEL : 02-2117-4560 (HP : 010-3391-4560),233,1081445,리나CD,OUTER,여성 의류,아우터,가디건,15000,대한민국,"https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1081445_0.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1081445_1.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1081445_2.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1081445_3.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1081445_4.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1081445_5.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1081445_6.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1081445_7.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1081445_8.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1081445_9.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1081445_10.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1081445_11.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1081445_12.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1081445_13.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1081445_14.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1081445_15.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1081445_16.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1081445_17.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1081445_18.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1081445_19.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1081445_20.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1081445_21.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1081445_22.jpg",캐주얼,총장 75cm/ 어깨 40cm/ 가슴 51cm/ 소매 58cm,레이온95 스판5,없음,좋음,없음,베이직,"BEIGE,BLACK,BLUE,WHITE",http://www.ddmmarket.co.kr/Prod?m=S&c=D4H1000435
퍼플,동대문,디오트,DOT-4-H-1,TEL : 02-2117-4560 (HP : 010-3391-4560),233,1077366,윈드쟈켓,OUTER,여성 의류,아우터,자켓,34000,대한민국,"https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1077366_0.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1077366_1.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1077366_2.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1077366_3.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1077366_4.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1077366_5.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1077366_6.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1077366_7.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1077366_8.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1077366_9.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1077366_10.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1077366_11.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1077366_12.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1077366_13.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1077366_14.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1077366_15.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1077366_16.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1077366_17.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1077366_18.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1077366_19.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1077366_20.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1077366_21.jpg",캐주얼,총장 66cm/ 가슴 54cm/ 어깨소매 71cm,나일론100,없음,없음,없음,베이직,"BLACK,CREAM",http://www.ddmmarket.co.kr/Prod?m=S&c=D4H1000435
퍼플,동대문,디오트,DOT-4-H-1,TEL : 02-2117-4560 (HP : 010-3391-4560),233,1066970,루트조끼,OUTER,여성 의류,아우터,조끼,15000,대한민국,"https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1066970_0.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1066970_1.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1066970_2.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1066970_3.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1066970_4.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1066970_5.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1066970_6.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1066970_7.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1066970_8.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1066970_9.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1066970_10.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1066970_11.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1066970_12.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1066970_13.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1066970_14.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1066970_15.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1066970_16.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1066970_17.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1066970_18.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1066970_19.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1066970_20.jpg",캐주얼,총장 앞62-뒤65cm/ 가슴 82cm/ 어깨소매 49cm,폴리60 레이온20 아크릴20,없음,좋음,없음,루즈핏,"BROWN,CHACOAL,IVORY",http://www.ddmmarket.co.kr/Prod?m=S&c=D4H1000435
퍼플,동대문,디오트,DOT-4-H-1,TEL : 02-2117-4560 (HP : 010-3391-4560),233,1065346,켈리CD,OUTER,여성 의류,아우터,가디건,19000,대한민국,"https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1065346_0.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1065346_1.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1065346_2.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1065346_3.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1065346_4.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1065346_5.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1065346_6.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1065346_7.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1065346_8.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1065346_9.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1065346_10.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1065346_11.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1065346_12.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1065346_13.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1065346_14.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1065346_15.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1065346_16.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1065346_17.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1065346_18.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1065346_19.jpg",캐주얼,총장 116cm/ 가슴 61cm/ 어깨소매 27cm,폴리90 울10,없음,좋음,없음,루즈핏,"BLACK,BROWN,CHACOAL",http://www.ddmmarket.co.kr/Prod?m=S&c=D4H1000435
