shop_name,sizang_name,sangga_name,shop_address,shop_phone,product_cate_case,product_unique_id,product_name,product_checkbox_category,product_category_1,product_category_2,product_category_3,product_price,product_made,product_image_url,product_style,product_size,product_maxrate,product_seethrough,product_elasticity,product_lining,product_fitting,product_color,product_link
페니블루,동대문,제일평화,"JPH-2F-140,141",TEL : 02-2235-1161 (HP : 010-6363-9483),47,1099682,단가라퍼프CD,OUTER,여성 의류,아우터,가디건,69000,대한민국,"https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1099682_0.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1099682_1.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1099682_2.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1099682_3.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1099682_4.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1099682_5.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1099682_6.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1099682_7.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1099682_8.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1099682_9.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1099682_10.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1099682_11.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1099682_12.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1099682_13.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1099682_14.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1099682_15.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1099682_16.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1099682_17.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1099682_18.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1099682_19.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1099682_20.jpg",캐주얼,총장 53cm/ 어깨 38cm/ 가슴 48cm/ 소매 41cm,"아크릴, 레이온, 린넨",없음,좋음,없음,베이직,"BLACK,SKYBLUE",http://www.ddmmarket.co.kr/Prod?m=S&c=JP21400015
페니블루,동대문,제일평화,"JPH-2F-140,141",TEL : 02-2235-1161 (HP : 010-6363-9483),47,1099114,타임벨티드JK,OUTER,여성 의류,아우터,자켓,118000,대한민국,"https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1099114_0.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1099114_1.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1099114_2.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1099114_3.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1099114_4.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1099114_5.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1099114_6.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1099114_7.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1099114_8.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1099114_9.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1099114_10.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1099114_11.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1099114_12.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1099114_13.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1099114_14.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1099114_15.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1099114_16.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1099114_17.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1099114_18.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1099114_19.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1099114_20.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1099114_21.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1099114_22.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1099114_23.jpg",캐주얼,"S 총장 71cm/ 어깨 38cm/ 가슴 48cm/ 소매 59cm
M 총장 72cm/ 어깨 39cm/ 가슴 52cm/ 소매 60cm",혼용율,없음,없음,없음,베이직,"BEIGE, S,BEIGE, M,BLACK, S,BLACK, M",http://www.ddmmarket.co.kr/Prod?m=S&c=JP21400015
페니블루,동대문,제일평화,"JPH-2F-140,141",TEL : 02-2235-1161 (HP : 010-6363-9483),47,1096695,밀파더블JK,OUTER,여성 의류,아우터,자켓,122000,대한민국,"https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1096695_0.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1096695_1.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1096695_2.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1096695_3.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1096695_4.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1096695_5.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1096695_6.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1096695_7.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1096695_8.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1096695_9.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1096695_10.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1096695_11.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1096695_12.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1096695_13.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1096695_14.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1096695_15.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1096695_16.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1096695_17.jpg",캐주얼,"S 총장 50cm/ 어깨 39cm/ 가슴 47cm/ 소매 57cm
M 총장 51cm/ 어깨 40cm/ 가슴 51cm/ 소매 58cm",폴리100,없음,없음,부분안감,베이직,"BLACK, S,BLACK, M",http://www.ddmmarket.co.kr/Prod?m=S&c=JP21400015
페니블루,동대문,제일평화,"JPH-2F-140,141",TEL : 02-2235-1161 (HP : 010-6363-9483),47,1096691,밀파에르JK,OUTER,여성 의류,아우터,자켓,128000,대한민국,"https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1096691_0.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1096691_1.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1096691_2.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1096691_3.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1096691_4.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1096691_5.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1096691_6.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1096691_7.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1096691_8.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1096691_9.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1096691_10.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1096691_11.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1096691_12.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1096691_13.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1096691_14.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1096691_15.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1096691_16.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1096691_17.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1096691_18.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1096691_19.jpg",캐주얼,"S 총장 73cm/ 어깨 37cm/ 가슴 49cm/ 소매 59cm
M 총장 74cm/ 어깨 38cm/ 가슴 53cm/ 소매 60cm",폴리100,없음,없음,전체안감,베이직,"BLACK, S,BLACK, M",http://www.ddmmarket.co.kr/Prod?m=S&c=JP21400015
페니블루,동대문,제일평화,"JPH-2F-140,141",TEL : 02-2235-1161 (HP : 010-6363-9483),47,1096690,샤넬가디건,OUTER,여성 의류,아우터,가디건,85000,대한민국,"https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1096690_0.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1096690_1.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1096690_2.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1096690_3.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1096690_4.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1096690_5.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1096690_6.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1096690_7.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1096690_8.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1096690_9.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1096690_10.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1096690_11.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1096690_12.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1096690_13.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1096690_14.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1096690_15.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1096690_16.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1096690_17.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1096690_18.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1096690_19.jpg",캐주얼,총장 52cm/ 어깨 41cm/ 가슴 50cm/ 소매 60cm,면100,없음,좋음,없음,베이직,"BLACK,IVORY,PINK",http://www.ddmmarket.co.kr/Prod?m=S&c=JP21400015
페니블루,동대문,제일평화,"JPH-2F-140,141",TEL : 02-2235-1161 (HP : 010-6363-9483),47,1096168,샤넬라운드JK,OUTER,여성 의류,아우터,자켓,135000,대한민국,"https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1096168_0.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1096168_1.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1096168_2.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1096168_3.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1096168_4.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1096168_5.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1096168_6.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1096168_7.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1096168_8.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1096168_9.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1096168_10.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1096168_11.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1096168_12.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1096168_13.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1096168_14.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1096168_15.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1096168_16.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1096168_17.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1096168_18.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1096168_19.jpg",어반/모던,총장 53cm/ 어깨 36cm/ 가슴 49cm/ 소매 59cm,폴리100,없음,없음,전체안감,베이직,"BLACK,YELLOW",http://www.ddmmarket.co.kr/Prod?m=S&c=JP21400015
페니블루,동대문,제일평화,"JPH-2F-140,141",TEL : 02-2235-1161 (HP : 010-6363-9483),47,1096166,톰브라운울JK,OUTER,여성 의류,아우터,자켓,135000,대한민국,"https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1096166_0.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1096166_1.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1096166_2.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1096166_3.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1096166_4.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1096166_5.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1096166_6.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1096166_7.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1096166_8.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1096166_9.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1096166_10.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1096166_11.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1096166_12.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1096166_13.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1096166_14.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1096166_15.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1096166_16.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1096166_17.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1096166_18.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1096166_19.jpg",어반/모던,총장 56cm/ 어깨 39cm/ 가슴 50cm/ 소매 60cm,울50 폴리48 스판2,없음,없음,전체안감,베이직,"NAVY, S,NAVY, M",http://www.ddmmarket.co.kr/Prod?m=S&c=JP21400015
페니블루,동대문,제일평화,"JPH-2F-140,141",TEL : 02-2235-1161 (HP : 010-6363-9483),47,1086608,자수니트조끼,OUTER,여성 의류,아우터,조끼,72000,,"https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1086608_0.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1086608_1.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1086608_2.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1086608_3.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1086608_4.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1086608_5.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1086608_6.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1086608_7.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1086608_8.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1086608_9.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1086608_10.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1086608_11.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1086608_12.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1086608_13.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1086608_14.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1086608_15.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1086608_16.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1086608_17.jpg",캐주얼,총장 57cm/ 어깨 53cm/ 가슴 57cm,겉감: 울30 아크릴35 나일론30 캐시미어5,없음,없음,없음,베이직,BLACK,http://www.ddmmarket.co.kr/Prod?m=S&c=JP21400015
페니블루,동대문,제일평화,"JPH-2F-140,141",TEL : 02-2235-1161 (HP : 010-6363-9483),47,1086607,셀린배색JK,OUTER,여성 의류,아우터,자켓,128000,대한민국,"https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1086607_0.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1086607_1.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1086607_2.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1086607_3.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1086607_4.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1086607_5.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1086607_6.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1086607_7.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1086607_8.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1086607_9.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1086607_10.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1086607_11.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1086607_12.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1086607_13.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1086607_14.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1086607_15.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1086607_16.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1086607_17.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1086607_18.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1086607_19.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1086607_20.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1086607_21.jpg",캐주얼,총장 53cm/ 어깨 40cm/ 가슴 50cm/ 소매 60cm (S사이즈 기준),겉감: 울59 나일론23 스판2 /안감:폴리100,없음,없음,전체안감,베이직,"NAVY, S,NAVY, M",http://www.ddmmarket.co.kr/Prod?m=S&c=JP21400015
페니블루,동대문,제일평화,"JPH-2F-140,141",TEL : 02-2235-1161 (HP : 010-6363-9483),47,1073996,더캐시니트조끼,OUTER,여성 의류,아우터,조끼,79000,대한민국,"https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1073996_0.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1073996_1.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1073996_2.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1073996_3.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1073996_4.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1073996_5.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1073996_6.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1073996_7.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1073996_8.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1073996_9.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1073996_10.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1073996_11.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1073996_12.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1073996_13.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1073996_14.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1073996_15.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1073996_16.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1073996_17.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1073996_18.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1073996_19.jpg",캐주얼,총장 75cm/ 어깨 47cm/ 가슴 49cm,아크릴100울10나일론20모달10,없음,좋음,없음,베이직,"IVORY,LIME,NAVY",http://www.ddmmarket.co.kr/Prod?m=S&c=JP21400015
