shop_name,sizang_name,sangga_name,shop_address,shop_phone,product_cate_case,product_unique_id,product_name,product_checkbox_category,product_category_1,product_category_2,product_category_3,product_price,product_made,product_image_url,product_style,product_size,product_maxrate,product_seethrough,product_elasticity,product_lining,product_fitting,product_color,product_link
호박씨,동대문,청평화,CPH-2-가-54,TEL : 02-2233-3685 (HP : 010-5036-3685),74,1115729,매직부츠,BOTTOM,여성 의류,기타,,21000,대한민국,"https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1115729_0.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1115729_1.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1115729_2.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1115729_3.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1115729_4.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1115729_5.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1115729_6.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1115729_7.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1115729_8.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1115729_9.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1115729_10.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1115729_11.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1115729_12.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1115729_13.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1115729_14.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1115729_15.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1115729_16.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1115729_17.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1115729_18.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1115729_19.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1115729_20.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1115729_21.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1115729_22.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1115729_23.jpg","오피스,어반/모던,심플/베이직","S 총장 92cm/ 허리 34cm/ 힙 37cm/ 밑위 29cm/ 밑단 22cm
M 총장 93cm/ 허리 36cm/ 힙 39cm/ 밑위 30cm/ 밑단 23cm
L 총장 94cm/ 허리 38cm/ 힙 41cm/ 밑위 31cm/ 밑단 24cm",폴리92 스판8,없음,좋음,없음,슬림핏,"BEIGE, S,BEIGE, M,BEIGE, L,BLACK, S,BLACK, M,BLACK, L",http://www.ddmmarket.co.kr/Prod?m=S&c=C2KA540430
호박씨,동대문,청평화,CPH-2-가-54,TEL : 02-2233-3685 (HP : 010-5036-3685),74,1114916,비죠밴딩,BOTTOM,여성 의류,기타,,20000,대한민국,"https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1114916_0.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1114916_1.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1114916_2.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1114916_3.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1114916_4.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1114916_5.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1114916_6.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1114916_7.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1114916_8.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1114916_9.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1114916_10.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1114916_11.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1114916_12.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1114916_13.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1114916_14.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1114916_15.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1114916_16.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1114916_17.jpg","캐주얼,어반/모던,심플/베이직","S 총장 93cm/ 허리 31cm/ 힙 45cm/ 밑위 27cm/ 밑단 22cm
M 총장 94cm/ 허리 33cm/ 힙 47cm/ 밑위 28cm/ 밑단 23cm
L 총장 95cm/ 허리 35cm/ 힙 49cm/ 밑위 29cm/ 밑단 24cm",폴리97 스판3,없음,좋음,없음,베이직,"BEIGE, S,BEIGE, M,BEIGE, L,BLACK, S,BLACK, M,BLACK, L",http://www.ddmmarket.co.kr/Prod?m=S&c=C2KA540430
호박씨,동대문,청평화,CPH-2-가-54,TEL : 02-2233-3685 (HP : 010-5036-3685),74,1114915,러블리SL,BOTTOM,여성 의류,하의,슬렉스,21000,대한민국,"https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1114915_0.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1114915_1.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1114915_2.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1114915_3.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1114915_4.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1114915_5.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1114915_6.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1114915_7.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1114915_8.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1114915_9.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1114915_10.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1114915_11.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1114915_12.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1114915_13.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1114915_14.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1114915_15.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1114915_16.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1114915_17.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1114915_18.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1114915_19.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1114915_20.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1114915_21.jpg","캐주얼,어반/모던,심플/베이직","M-총장 98cm/ 허리 32cm/ 힙 42cm/ 밑위 32cm/ 밑단 23cm
L-총장 99cm/ 허리 34cm/ 힙 44cm/ 밑위 33cm/ 밑단 24cm",폴리97 스판3,없음,좋음,없음,베이직,"BEIGE, M,BEIGE, L,BLACK, M,BLACK, L,PINK, M,PINK, L",http://www.ddmmarket.co.kr/Prod?m=S&c=C2KA540430
호박씨,동대문,청평화,CPH-2-가-54,TEL : 02-2233-3685 (HP : 010-5036-3685),74,1114711,타미보미,BOTTOM,여성 의류,기타,,25000,대한민국,"https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1114711_0.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1114711_1.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1114711_2.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1114711_3.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1114711_4.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1114711_5.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1114711_6.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1114711_7.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1114711_8.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1114711_9.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1114711_10.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1114711_11.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1114711_12.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1114711_13.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1114711_14.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1114711_15.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1114711_16.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1114711_17.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1114711_18.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1114711_19.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1114711_20.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1114711_21.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1114711_22.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1114711_23.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1114711_24.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1114711_25.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1114711_26.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1114711_27.jpg","캐주얼,어반/모던,심플/베이직","S 총장 93cm/ 허리 33cm/ 힙 41cm/ 밑위 25cm/ 밑단 15cm
M 총장 94cm/ 허리 35cm/ 힙 43cm/ 밑위 26cm/ 밑단 16cm
L 총장 95cm/ 허리 37cm/ 힙 45cm/ 밑위 27cm/ 밑단 17cm
XL 총장 96cm/ 허리 39cm/ 힙 47cm/ 밑위 28cm/ 밑단 18cm",면97 스판3,없음,좋음,없음,베이직,"BLACK, S,BLACK, M,BLACK, L,BLACK, XL,DARKBLUEJEAN, S,DARKBLUEJEAN, M,DARKBLUEJEAN, L,DARKBLUEJEAN, XL,LIGHTBLUEJEAN, S,LIGHTBLUEJEAN, M,LIGHTBLUEJEAN, L,LIGHTBLUEJEAN, XL",http://www.ddmmarket.co.kr/Prod?m=S&c=C2KA540430
호박씨,동대문,청평화,CPH-2-가-54,TEL : 02-2233-3685 (HP : 010-5036-3685),74,1114659,에코부츠,BOTTOM,여성 의류,기타,,24000,대한민국,"https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1114659_0.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1114659_1.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1114659_2.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1114659_3.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1114659_4.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1114659_5.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1114659_6.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1114659_7.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1114659_8.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1114659_9.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1114659_10.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1114659_11.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1114659_12.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1114659_13.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1114659_14.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1114659_15.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1114659_16.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1114659_17.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1114659_18.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1114659_19.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1114659_20.jpg","캐주얼,어반/모던,심플/베이직","S-총장 89cm/ 허리 31cm/ 힙 36cm/ 밑위 24cm/ 밑단 17cm
M-총장 90cm/ 허리 33cm/ 힙 38cm/ 밑위 25cm/ 밑단 18cm
L-총장 91cm/ 허리 35cm/ 힙 40cm/ 밑위 26cm/ 밑단 19cm
XL-총장 92cm/ 허리 37cm/ 힙 42cm/ 밑위 27cm/ 밑단 20cm",면97 스판3,없음,좋음,없음,베이직,"JEAN, S,JEAN, M,JEAN, L,JEAN, XL",http://www.ddmmarket.co.kr/Prod?m=S&c=C2KA540430
호박씨,동대문,청평화,CPH-2-가-54,TEL : 02-2233-3685 (HP : 010-5036-3685),74,1114349,봄왕뿌띠(6cm),BOTTOM,여성 의류,기타,,15000,대한민국,"https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1114349_0.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1114349_1.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1114349_2.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1114349_3.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1114349_4.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1114349_5.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1114349_6.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1114349_7.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1114349_8.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1114349_9.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1114349_10.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1114349_11.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1114349_12.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1114349_13.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1114349_14.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1114349_15.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1114349_16.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1114349_17.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1114349_18.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1114349_19.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1114349_20.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1114349_21.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1114349_22.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1114349_23.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1114349_24.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1114349_25.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1114349_26.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1114349_27.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1114349_28.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1114349_29.jpg","어반/모던,심플/베이직","S 총장 90cm/ 허리 32cm/ 힙 38cm/ 밑위 27cm/ 밑단 17cm
M 총장 91cm/ 허리 34cm/ 힙 40cm/ 밑위 28cm/ 밑단 18cm
L 총장 92cm/ 허리 36cm/ 힙 42cm/ 밑위 29cm/ 밑단 19cm
XL 총장 93cm/ 허리 38cm/ 힙 44cm/ 밑위 30cm/ 밑단 20cm",폴리90 스판10,없음,좋음,없음,베이직,"BEIGE, S,BEIGE, M,BEIGE, L,BEIGE, XL,BLACK, S,BLACK, M,BLACK, L,BLACK, XL,IVORY, S,IVORY, M,IVORY, L,IVORY, XL",http://www.ddmmarket.co.kr/Prod?m=S&c=C2KA540430
호박씨,동대문,청평화,CPH-2-가-54,TEL : 02-2233-3685 (HP : 010-5036-3685),74,1114348,봄뿌띠(4cm),BOTTOM,여성 의류,기타,,15000,대한민국,"https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1114348_0.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1114348_1.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1114348_2.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1114348_3.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1114348_4.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1114348_5.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1114348_6.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1114348_7.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1114348_8.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1114348_9.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1114348_10.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1114348_11.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1114348_12.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1114348_13.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1114348_14.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1114348_15.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1114348_16.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1114348_17.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1114348_18.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1114348_19.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1114348_20.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1114348_21.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1114348_22.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1114348_23.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1114348_24.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1114348_25.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1114348_26.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1114348_27.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1114348_28.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1114348_29.jpg","어반/모던,심플/베이직","S 총장 92cm/ 허리 32cm/ 힙 39cm/ 밑위 29cm/ 밑단 17cm
M 총장 93cm/ 허리 34cm/ 힙 41cm/ 밑위 30cm/ 밑단 18cm
L 총장 94cm/ 허리 36cm/ 힙 43cm/ 밑위 31cm/ 밑단 19cm
XL 총장 95cm/ 허리 38cm/ 힙 45cm/ 밑위 32cm/ 밑단 20cm",폴리90 스판10,없음,좋음,없음,베이직,"BEIGE, S,BEIGE, M,BEIGE, L,BEIGE, XL,BLACK, S,BLACK, M,BLACK, L,BLACK, XL,IVORY, S,IVORY, M,IVORY, L,IVORY, XL",http://www.ddmmarket.co.kr/Prod?m=S&c=C2KA540430
호박씨,동대문,청평화,CPH-2-가-54,TEL : 02-2233-3685 (HP : 010-5036-3685),74,1114256,봄구호조거,BOTTOM,여성 의류,기타,,21000,대한민국,"https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1114256_0.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1114256_1.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1114256_2.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1114256_3.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1114256_4.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1114256_5.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1114256_6.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1114256_7.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1114256_8.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1114256_9.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1114256_10.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1114256_11.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1114256_12.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1114256_13.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1114256_14.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1114256_15.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1114256_16.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1114256_17.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1114256_18.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1114256_19.jpg","캐주얼,어반/모던,심플/베이직","M 총장 86-89cm/ 허리 31cm/ 힙 46cm/ 밑위 27cm/ 밑단 12cm
L 총장 87-90cm/ 허리 33cm/ 힙 48cm/ 밑위 28cm/ 밑단 13cm",나일론55 레이온37 스판8,없음,좋음,없음,베이직,"BEIGE, M,BEIGE, L,BLACK, M,BLACK, L",http://www.ddmmarket.co.kr/Prod?m=S&c=C2KA540430
호박씨,동대문,청평화,CPH-2-가-54,TEL : 02-2233-3685 (HP : 010-5036-3685),74,1114120,골드와이드,BOTTOM,여성 의류,기타,,28000,대한민국,"https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1114120_0.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1114120_1.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1114120_2.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1114120_3.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1114120_4.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1114120_5.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1114120_6.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1114120_7.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1114120_8.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1114120_9.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1114120_10.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1114120_11.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1114120_12.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1114120_13.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1114120_14.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1114120_15.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1114120_16.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1114120_17.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1114120_18.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1114120_19.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1114120_20.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1114120_21.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1114120_22.jpg","캐주얼,어반/모던,심플/베이직","S 총장 98cm/ 허리 31cm/ 힙 35cm/ 밑위 11cm/ 밑단 25cm
M 총장 99cm/ 허리 33cm/ 힙 37cm/ 밑위 12cm/ 밑단 26cm
L 총장 100cm/ 허리 35cm/ 힙 39cm/ 밑위 13cm/ 밑단 27cm",면97 스판3,없음,좋음,없음,베이직,"JEAN, S,JEAN, M,JEAN, L",http://www.ddmmarket.co.kr/Prod?m=S&c=C2KA540430
호박씨,동대문,청평화,CPH-2-가-54,TEL : 02-2233-3685 (HP : 010-5036-3685),74,1114009,버튼포켓,BOTTOM,여성 의류,기타,,23000,대한민국,"https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1114009_0.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1114009_1.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1114009_2.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1114009_3.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1114009_4.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1114009_5.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1114009_6.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1114009_7.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1114009_8.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1114009_9.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1114009_10.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1114009_11.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1114009_12.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1114009_13.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1114009_14.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1114009_15.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1114009_16.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1114009_17.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1114009_18.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1114009_19.jpg","캐주얼,어반/모던,심플/베이직","S-총장 86cm/ 허리 32cm/ 힙 42cm/ 밑위 26cm/ 밑단 14cm
M-총장 87cm/ 허리 34cm/ 힙 44cm/ 밑위 27cm/ 밑단 15cm
L-총장 88cm/ 허리 36cm/ 힙 46cm/ 밑위 28cm/ 밑단 16cm",면95 스판5,없음,좋음,없음,베이직,"BEIGE, S,BEIGE, M,BEIGE, L,BLACK, S,BLACK, M,BLACK, L,LIGHTKHAKI, S,LIGHTKHAKI, M,LIGHTKHAKI, L",http://www.ddmmarket.co.kr/Prod?m=S&c=C2KA540430
