shop_name,sizang_name,sangga_name,shop_address,shop_phone,product_cate_case,product_unique_id,product_name,product_checkbox_category,product_category_1,product_category_2,product_category_3,product_price,product_made,product_image_url,product_style,product_size,product_maxrate,product_seethrough,product_elasticity,product_lining,product_fitting,product_color,product_link
데님부티크,동대문,디오트,DOT-B1-D-2,TEL : 02-2117-8579 (HP : 010-7478-3243),70,1088787,#122기모후드크롭티,TOP & TEE,여성 의류,하의,청바지,22000,대한민국,"https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1088787_0.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1088787_1.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1088787_2.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1088787_3.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1088787_4.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1088787_5.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1088787_6.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1088787_7.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1088787_8.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1088787_9.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1088787_10.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1088787_11.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1088787_12.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1088787_13.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1088787_14.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1088787_15.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1088787_16.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1088787_17.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1088787_18.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1088787_19.jpg",캐주얼,총장 49cm/ 어깨 49cm/ 가슴 47cm/ 소매 58cm,면100,없음,약간,기모,베이직,"BLACK,GRAY",http://www.ddmmarket.co.kr/Prod?m=S&c=D3E2100443
데님부티크,동대문,디오트,DOT-B1-D-2,TEL : 02-2117-8579 (HP : 010-7478-3243),70,1087806,"120,보카시쮸리언발크롭티",TOP & TEE,여성 의류,하의,청바지,20000,대한민국,"https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1087806_0.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1087806_1.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1087806_2.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1087806_3.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1087806_4.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1087806_5.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1087806_6.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1087806_7.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1087806_8.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1087806_9.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1087806_10.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1087806_11.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1087806_12.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1087806_13.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1087806_14.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1087806_15.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1087806_16.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1087806_17.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1087806_18.jpg",캐주얼,총장 앞40-뒤52cm/ 가슴 61cm/ 어깨소매 84cm,면100,없음,좋음,없음,베이직,"BLUE,GRAY",http://www.ddmmarket.co.kr/Prod?m=S&c=D3E2100443
데님부티크,동대문,디오트,DOT-B1-D-2,TEL : 02-2117-8579 (HP : 010-7478-3243),70,1087805,"119,피그먼트박시크롭티",TOP & TEE,여성 의류,하의,청바지,20000,대한민국,"https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1087805_0.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1087805_1.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1087805_2.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1087805_3.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1087805_4.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1087805_5.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1087805_6.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1087805_7.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1087805_8.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1087805_9.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1087805_10.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1087805_11.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1087805_12.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1087805_13.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1087805_14.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1087805_15.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1087805_16.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1087805_17.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1087805_18.jpg",캐주얼,총장 앞46-뒤66cm/ 가슴 76cm/ 어깨소매 82cm,면100,없음,좋음,없음,루즈핏,"CHINESEINK,LIGHTGRAY",http://www.ddmmarket.co.kr/Prod?m=S&c=D3E2100443
데님부티크,동대문,디오트,DOT-B1-D-2,TEL : 02-2117-8579 (HP : 010-7478-3243),70,1086928,#118후드쮸리나염티,TOP & TEE,여성 의류,하의,청바지,28000,대한민국,"https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1086928_0.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1086928_1.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1086928_2.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1086928_3.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1086928_4.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1086928_5.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1086928_6.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1086928_7.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1086928_8.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1086928_9.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1086928_10.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1086928_11.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1086928_12.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1086928_13.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1086928_14.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1086928_15.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1086928_16.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1086928_17.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1086928_18.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1086928_19.jpg",캐주얼,총장 63cm/ 가슴 62cm/ 어깨소매 78cm,면100,없음,좋음,없음,베이직,"GRAY,WHITE",http://www.ddmmarket.co.kr/Prod?m=S&c=D3E2100443
데님부티크,동대문,디오트,DOT-B1-D-2,TEL : 02-2117-8579 (HP : 010-7478-3243),70,1086152,"#117,쓰리베어박스티셔츠",TOP & TEE,여성 의류,하의,청바지,20000,대한민국,"https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1086152_0.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1086152_1.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1086152_2.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1086152_3.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1086152_4.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1086152_5.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1086152_6.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1086152_7.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1086152_8.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1086152_9.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1086152_10.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1086152_11.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1086152_12.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1086152_13.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1086152_14.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1086152_15.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1086152_16.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1086152_17.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1086152_18.jpg",캐주얼,총장 77cm/ 가슴 77cm/ 어깨소매 87cm,면100,없음,좋음,없음,루즈핏,"GRAY,PINK",http://www.ddmmarket.co.kr/Prod?m=S&c=D3E2100443
데님부티크,동대문,디오트,DOT-B1-D-2,TEL : 02-2117-8579 (HP : 010-7478-3243),70,1086151,"#116,피그먼트레터링트임티셔츠",TOP & TEE,여성 의류,하의,청바지,22000,대한민국,"https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1086151_0.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1086151_1.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1086151_2.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1086151_3.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1086151_4.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1086151_5.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1086151_6.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1086151_7.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1086151_8.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1086151_9.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1086151_10.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1086151_11.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1086151_12.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1086151_13.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1086151_14.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1086151_15.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1086151_16.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1086151_17.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1086151_18.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1086151_19.jpg",캐주얼,총장 69cm/ 가슴 64cm/ 어깨소매 81cm,면100,없음,좋음,없음,베이직,"CHINESEINK,NAVY",http://www.ddmmarket.co.kr/Prod?m=S&c=D3E2100443
데님부티크,동대문,디오트,DOT-B1-D-2,TEL : 02-2117-8579 (HP : 010-7478-3243),70,1080673,#107반전나염롱나시,TOP & TEE,여성 의류,하의,청바지,18000,대한민국,"https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1080673_0.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1080673_1.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1080673_2.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1080673_3.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1080673_4.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1080673_5.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1080673_6.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1080673_7.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1080673_8.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1080673_9.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1080673_10.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1080673_11.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1080673_12.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1080673_13.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1080673_14.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1080673_15.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1080673_16.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1080673_17.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1080673_18.jpg",캐주얼,총장 80cm/ 어깨 32cm/ 가슴 57cm,면95 스판5,없음,좋음,없음,루즈핏,"BLACK,WHITE",http://www.ddmmarket.co.kr/Prod?m=S&c=D3E2100443
데님부티크,동대문,디오트,DOT-B1-D-2,TEL : 02-2117-8579 (HP : 010-7478-3243),70,1080669,#112모달골지단가라티,TOP & TEE,여성 의류,하의,청바지,15000,대한민국,"https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1080669_0.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1080669_1.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1080669_2.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1080669_3.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1080669_4.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1080669_5.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1080669_6.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1080669_7.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1080669_8.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1080669_9.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1080669_10.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1080669_11.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1080669_12.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1080669_13.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1080669_14.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1080669_15.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1080669_16.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1080669_17.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1080669_18.jpg",캐주얼,총장 47cm/ 어깨 40cm/ 가슴 38cm/ 소매 28cm,면56 모달38 스판6,약간비침,좋음,없음,슬림핏,"NAVY,WHITE",http://www.ddmmarket.co.kr/Prod?m=S&c=D3E2100443
데님부티크,동대문,디오트,DOT-B1-D-2,TEL : 02-2117-8579 (HP : 010-7478-3243),70,1080667,#110유넥크롭티,TOP & TEE,여성 의류,하의,청바지,15000,대한민국,"https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1080667_0.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1080667_1.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1080667_2.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1080667_3.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1080667_4.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1080667_5.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1080667_6.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1080667_7.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1080667_8.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1080667_9.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1080667_10.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1080667_11.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1080667_12.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1080667_13.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1080667_14.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1080667_15.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1080667_16.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1080667_17.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1080667_18.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1080667_19.jpg",캐주얼,총장 45cm/ 가슴 65cm/ 어깨소매 47cm,면95 스판5,없음,좋음,없음,루즈핏,"BEIGE,BLACK,KHAKI",http://www.ddmmarket.co.kr/Prod?m=S&c=D3E2100443
데님부티크,동대문,디오트,DOT-B1-D-2,TEL : 02-2117-8579 (HP : 010-7478-3243),70,1073756,#104아몬드버터크롭T,TOP & TEE,여성 의류,하의,청바지,15000,대한민국,"https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1073756_0.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1073756_1.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1073756_2.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1073756_3.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1073756_4.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1073756_5.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1073756_6.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1073756_7.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1073756_8.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1073756_9.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1073756_10.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1073756_11.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1073756_12.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1073756_13.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1073756_14.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1073756_15.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1073756_16.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1073756_17.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1073756_18.jpg",캐주얼,총장 45cm/ 가슴 61cm/ 어깨소매 46cm,면95 스판5,없음,좋음,없음,루즈핏,"CHINESEINK,WHITE",http://www.ddmmarket.co.kr/Prod?m=S&c=D3E2100443
