shop_name,sizang_name,sangga_name,shop_address,shop_phone,product_cate_case,product_unique_id,product_name,product_checkbox_category,product_category_1,product_category_2,product_category_3,product_price,product_made,product_image_url,product_style,product_size,product_maxrate,product_seethrough,product_elasticity,product_lining,product_fitting,product_color,product_link
제이엠,동대문,청평화,CPH-2-가-35,TEL : 02-2234-2139 (HP : 010-4485-9137),17,1113985,마르니포켓,OUTER,여성 의류,아우터,후드/집업/사파리,53000,대한민국,"https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1113985_0.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1113985_1.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1113985_2.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1113985_3.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1113985_4.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1113985_5.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1113985_6.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1113985_7.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1113985_8.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1113985_9.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1113985_10.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1113985_11.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1113985_12.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1113985_13.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1113985_14.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1113985_15.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1113985_16.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1113985_17.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1113985_18.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1113985_19.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1113985_20.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1113985_21.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1113985_22.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1113985_23.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1113985_24.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1113985_25.jpg","캐주얼,어반/모던,심플/베이직","FREE 총장 66cm/ 어깨 37cm/ 가슴 49cm/ 소매 60cm
L 총장 67cm/ 어깨 38cm/ 가슴 53cm/ 소매 61cm",면50 나일론50,없음,없음,전체안감,베이직,"BEIGE,BEIGE, L,ORANGE,ORANGE, L,SKYBLUE,SKYBLUE, L",http://www.ddmmarket.co.kr/Prod?m=S&c=C2KA350516
제이엠,동대문,청평화,CPH-2-가-35,TEL : 02-2234-2139 (HP : 010-4485-9137),17,1113639,스트링후드,OUTER,여성 의류,아우터,후드/집업/사파리,67000,대한민국,"https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1113639_0.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1113639_1.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1113639_2.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1113639_3.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1113639_4.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1113639_5.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1113639_6.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1113639_7.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1113639_8.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1113639_9.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1113639_10.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1113639_11.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1113639_12.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1113639_13.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1113639_14.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1113639_15.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1113639_16.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1113639_17.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1113639_18.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1113639_19.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1113639_20.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1113639_21.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1113639_22.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1113639_23.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1113639_24.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1113639_25.jpg",,"F 총장 85cm / 가슴 51cm/ 어깨+소매 68cm
L 총장 86cm/ 가슴 54cm/ 어깨+소매 69cm",면50 나일론50,없음,없음,전체안감,베이직,"BEIGE,BEIGE, L,KHAKI,KHAKI, L,NAVY,NAVY, L",http://www.ddmmarket.co.kr/Prod?m=S&c=C2KA350516
제이엠,동대문,청평화,CPH-2-가-35,TEL : 02-2234-2139 (HP : 010-4485-9137),17,1113201,시에로,OUTER,여성 의류,아우터,후드/집업/사파리,53000,대한민국,"https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1113201_0.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1113201_1.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1113201_2.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1113201_3.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1113201_4.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1113201_5.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1113201_6.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1113201_7.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1113201_8.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1113201_9.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1113201_10.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1113201_11.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1113201_12.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1113201_13.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1113201_14.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1113201_15.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1113201_16.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1113201_17.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1113201_18.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1113201_19.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1113201_20.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1113201_21.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1113201_22.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1113201_23.jpg",,총장 69cm/ 가슴 53cm/ 어깨소매 66cm,면50 나일론50,없음,없음,전체안감,베이직,"BEIGE,BLACK,LIGHTMINT",http://www.ddmmarket.co.kr/Prod?m=S&c=C2KA350516
제이엠,동대문,청평화,CPH-2-가-35,TEL : 02-2234-2139 (HP : 010-4485-9137),17,1113200,다이엔,OUTER,여성 의류,아우터,후드/집업/사파리,55000,대한민국,"https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1113200_0.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1113200_1.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1113200_2.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1113200_3.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1113200_4.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1113200_5.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1113200_6.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1113200_7.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1113200_8.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1113200_9.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1113200_10.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1113200_11.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1113200_12.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1113200_13.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1113200_14.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1113200_15.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1113200_16.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1113200_17.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1113200_18.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1113200_19.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1113200_20.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1113200_21.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1113200_22.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1113200_23.jpg",,총장 93cm/ 어깨 37cm/ 가슴 51cm/ 소매 55cm,면50 나일론50,없음,없음,전체안감,베이직,"BEIGE,LIGHTKHAKI,LIGHTMINT",http://www.ddmmarket.co.kr/Prod?m=S&c=C2KA350516
제이엠,동대문,청평화,CPH-2-가-35,TEL : 02-2234-2139 (HP : 010-4485-9137),17,1113199,스트링롱,OUTER,여성 의류,아우터,후드/집업/사파리,69000,대한민국,"https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1113199_0.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1113199_1.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1113199_2.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1113199_3.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1113199_4.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1113199_5.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1113199_6.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1113199_7.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1113199_8.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1113199_9.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1113199_10.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1113199_11.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1113199_12.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1113199_13.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1113199_14.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1113199_15.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1113199_16.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1113199_17.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1113199_18.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1113199_19.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1113199_20.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1113199_21.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1113199_22.jpg","어반/모던,심플/베이직",총장 101cm / 가슴 52cm / 어깨+소매 68cm,면50 나일론50,없음,없음,전체안감,베이직,"BEIGE,INDYPINK,LIGHTMINT,NAVY",http://www.ddmmarket.co.kr/Prod?m=S&c=C2KA350516
제이엠,동대문,청평화,CPH-2-가-35,TEL : 02-2234-2139 (HP : 010-4485-9137),17,1105363,후드비죠,OUTER,여성 의류,아우터,후드/집업/사파리,49000,,"https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1105363_0.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1105363_1.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1105363_2.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1105363_3.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1105363_4.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1105363_5.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1105363_6.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1105363_7.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1105363_8.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1105363_9.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1105363_10.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1105363_11.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1105363_12.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1105363_13.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1105363_14.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1105363_15.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1105363_16.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1105363_17.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1105363_18.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1105363_19.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1105363_20.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1105363_21.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1105363_22.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1105363_23.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1105363_24.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1105363_25.jpg","캐주얼,심플/베이직","FREE-총장 71cm/ 어깨 39cm/ 가슴 48cm/ 소매 59cm
L-총장 72cm/ 어깨 40cm/ 가슴 52cm/ 소매 60cm",면50 나일론50,없음,없음,전체안감,베이직,"BEIGE,BEIGE, L,BLACK,BLACK, L,KHAKI,KHAKI, L",http://www.ddmmarket.co.kr/Prod?m=S&c=C2KA350516
제이엠,동대문,청평화,CPH-2-가-35,TEL : 02-2234-2139 (HP : 010-4485-9137),17,1101039,라운드스트립,OUTER,여성 의류,아우터,후드/집업/사파리,38000,대한민국,"https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1101039_0.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1101039_1.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1101039_2.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1101039_3.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1101039_4.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1101039_5.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1101039_6.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1101039_7.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1101039_8.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1101039_9.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1101039_10.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1101039_11.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1101039_12.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1101039_13.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1101039_14.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1101039_15.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1101039_16.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1101039_17.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1101039_18.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1101039_19.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1101039_20.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1101039_21.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1101039_22.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1101039_23.jpg",캐주얼,"F 총장 64cm/ 어깨 40cm/ 가슴 50cm/ 소매 45cm
L 총장 65cm/ 어깨 41cm/ 가슴 54cm/ 소매 46cm",나일론50 면50,없음,없음,없음,베이직,"BLBK,BLBK, L,MINT,MINT, L,PINK,PINK, L",http://www.ddmmarket.co.kr/Prod?m=S&c=C2KA350516
제이엠,동대문,청평화,CPH-2-가-35,TEL : 02-2234-2139 (HP : 010-4485-9137),17,1100989,마랑차이나,OUTER,여성 의류,아우터,후드/집업/사파리,35000,대한민국,"https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1100989_0.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1100989_1.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1100989_2.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1100989_3.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1100989_4.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1100989_5.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1100989_6.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1100989_7.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1100989_8.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1100989_9.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1100989_10.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1100989_11.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1100989_12.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1100989_13.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1100989_14.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1100989_15.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1100989_16.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1100989_17.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1100989_18.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1100989_19.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1100989_20.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1100989_21.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1100989_22.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1100989_23.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1100989_24.jpg",캐주얼,총장 62cm/ 어깨 40cm/ 가슴 53cm/ 소매 45cm,나일론50 면50,없음,없음,없음,베이직,"BEIGE,BLACK,BLBK,DARKBEIGE,MINT",http://www.ddmmarket.co.kr/Prod?m=S&c=C2KA350516
제이엠,동대문,청평화,CPH-2-가-35,TEL : 02-2234-2139 (HP : 010-4485-9137),17,1100184,다이엔,OUTER,여성 의류,아우터,후드/집업/사파리,55000,,"https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1100184_0.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1100184_1.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1100184_2.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1100184_3.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1100184_4.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1100184_5.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1100184_6.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1100184_7.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1100184_8.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1100184_9.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1100184_10.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1100184_11.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1100184_12.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1100184_13.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1100184_14.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1100184_15.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1100184_16.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1100184_17.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1100184_18.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1100184_19.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1100184_20.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1100184_21.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1100184_22.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1100184_23.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1100184_24.jpg",캐주얼,"F 총장 88cm/ 어깨 36cm/ 가슴 52cm/ 소매 53cm
L 총장 89cm/ 어깨 37cm/ 가슴 56cm/ 소매 54cm",나일론50 면50,없음,없음,없음,베이직,"BEIGE,BEIGE, L,BLACK,BLACK, L,LIGHTMINT,LIGHTMINT, L",http://www.ddmmarket.co.kr/Prod?m=S&c=C2KA350516
제이엠,동대문,청평화,CPH-2-가-35,TEL : 02-2234-2139 (HP : 010-4485-9137),17,1100182,스트링롱,OUTER,여성 의류,아우터,후드/집업/사파리,67000,대한민국,"https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1100182_0.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1100182_1.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1100182_2.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1100182_3.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1100182_4.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1100182_5.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1100182_6.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1100182_7.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1100182_8.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1100182_9.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1100182_10.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1100182_11.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1100182_12.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1100182_13.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1100182_14.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1100182_15.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1100182_16.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1100182_17.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1100182_18.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1100182_19.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1100182_20.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1100182_21.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1100182_22.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1100182_23.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1100182_24.jpg",캐주얼,"FREE 총장 100cm/ 가슴 52cm/ 어깨소매 67cm
L 총장 101cm/ 가슴 56cm/ 어깨소매 68cm",나일론50 / 면50,없음,없음,없음,베이직,"BEIGE,BEIGE, L,INDYPINK,INDYPINK, L,LIGHTMINT,LIGHTMINT, L",http://www.ddmmarket.co.kr/Prod?m=S&c=C2KA350516
