shop_name,sizang_name,sangga_name,shop_address,shop_phone,product_all_case,product_cate_case,product_unique_id,product_name,product_checkbox_category,product_category_1,product_category_2,product_category_3,product_price,product_made,product_image_url,product_style,product_size,product_maxrate,product_seethrough,product_elasticity,product_lining,product_fitting,product_color,product_link
프로,동대문,청평화,"CPH-2-나-10,11",TEL : 010-5236-5511 (HP : 010-2324-8796),112,109,1117435,683번 쿨젤리통SL,BOTTOM,WOMEN,하의,슬렉스,20000,대한민국,"https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1117435_0.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1117435_1.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1117435_2.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1117435_3.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1117435_4.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1117435_5.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1117435_6.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1117435_7.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1117435_8.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1117435_9.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1117435_10.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1117435_11.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1117435_12.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1117435_13.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1117435_14.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1117435_15.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1117435_16.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1117435_17.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1117435_18.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1117435_19.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1117435_20.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1117435_21.jpg","캐주얼,어반/모던,심플/베이직","S 총장 101cm/ 허리 31cm/ 힙 42cm/ 밑위 31cm/ 밑단 22cm
M 총장 102cm/ 허리 33cm/ 힙 44cm/ 밑위 32cm/ 밑단 23cm
L 총장 103cm/ 허리 35cm/ 힙 46cm/ 밑위 33cm/ 밑단 24cm",폴리90 스판10,없음,좋음,없음,기본핏,"BLACK, S,BLACK, M,BLACK, L,CREAM, S,CREAM, M,CREAM, L",http://www.ddmmarket.co.kr/Prod?m=S&c=C2NA110492
프로,동대문,청평화,"CPH-2-나-10,11",TEL : 010-5236-5511 (HP : 010-2324-8796),112,109,1117434,679번 아이유비죠통,BOTTOM,WOMEN,기타,,20000,대한민국,"https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1117434_0.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1117434_1.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1117434_2.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1117434_3.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1117434_4.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1117434_5.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1117434_6.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1117434_7.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1117434_8.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1117434_9.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1117434_10.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1117434_11.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1117434_12.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1117434_13.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1117434_14.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1117434_15.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1117434_16.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1117434_17.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1117434_18.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1117434_19.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1117434_20.jpg","어반/모던,심플/베이직","S 총장 91cm/ 허리 33cm/ 힙 46cm/ 밑위 26cm/ 밑단 21cm
M 총장 92cm/ 허리 35cm/ 힙 48cm/ 밑위 27cm/ 밑단 22cm
L 총장 93cm/ 허리 37cm/ 힙 50cm/ 밑위 28cm/ 밑단 23cm",폴리100,없음,약간,없음,기본핏,"BEIGE, S,BEIGE, M,BEIGE, L,BLACK, S,BLACK, M,BLACK, L,SKYBLUE, S,SKYBLUE, M,SKYBLUE, L",http://www.ddmmarket.co.kr/Prod?m=S&c=C2NA110492
프로,동대문,청평화,"CPH-2-나-10,11",TEL : 010-5236-5511 (HP : 010-2324-8796),112,109,1117433,676번 딘8부SL,BOTTOM,WOMEN,하의,슬렉스,19000,대한민국,"https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1117433_0.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1117433_1.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1117433_2.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1117433_3.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1117433_4.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1117433_5.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1117433_6.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1117433_7.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1117433_8.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1117433_9.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1117433_10.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1117433_11.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1117433_12.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1117433_13.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1117433_14.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1117433_15.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1117433_16.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1117433_17.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1117433_18.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1117433_19.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1117433_20.jpg","캐주얼,어반/모던,심플/베이직","S 총장 82cm/ 허리 32cm/ 힙 43cm/ 밑위 28cm/ 밑단 26cm
M 총장 83cm/ 허리 34cm/ 힙 45cm/ 밑위 29cm/ 밑단 27cm
L 총장 84cm/ 허리 36cm/ 힙 47cm/ 밑위 30cm/ 밑단 28cm",폴리100,없음,약간,없음,기본핏,"BLACK, S,BLACK, M,BLACK, L,BROWN, S,BROWN, M,BROWN, L,IVORY, S,IVORY, M,IVORY, L",http://www.ddmmarket.co.kr/Prod?m=S&c=C2NA110492
프로,동대문,청평화,"CPH-2-나-10,11",TEL : 010-5236-5511 (HP : 010-2324-8796),112,109,1117432,675번 마린통SL,BOTTOM,WOMEN,하의,슬렉스,20000,대한민국,"https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1117432_0.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1117432_1.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1117432_2.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1117432_3.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1117432_4.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1117432_5.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1117432_6.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1117432_7.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1117432_8.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1117432_9.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1117432_10.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1117432_11.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1117432_12.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1117432_13.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1117432_14.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1117432_15.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1117432_16.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1117432_17.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1117432_18.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1117432_19.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1117432_20.jpg","캐주얼,어반/모던,심플/베이직","S 총장 84cm/ 허리 31cm/ 힙 42cm/ 밑위 26cm/ 밑단 22cm
M 총장 85cm/ 허리 33cm/ 힙 44cm/ 밑위 27cm/ 밑단 23cm
L 총장 86cm/ 허리 35cm/ 힙 46cm/ 밑위 28cm/ 밑단 24cm",폴리47 레이온32 린넨15 스판6,없음,좋음,없음,기본핏,"BEIGE, S,BEIGE, M,BEIGE, L,BLACK, S,BLACK, M,BLACK, L,BROWN, S,BROWN, M,BROWN, L",http://www.ddmmarket.co.kr/Prod?m=S&c=C2NA110492
프로,동대문,청평화,"CPH-2-나-10,11",TEL : 010-5236-5511 (HP : 010-2324-8796),112,109,1117431,157번 랩치마바지,BOTTOM,WOMEN,하의,스커트,24000,대한민국,"https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1117431_0.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1117431_1.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1117431_2.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1117431_3.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1117431_4.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1117431_5.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1117431_6.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1117431_7.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1117431_8.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1117431_9.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1117431_10.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1117431_11.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1117431_12.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1117431_13.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1117431_14.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1117431_15.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1117431_16.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1117431_17.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1117431_18.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1117431_19.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1117431_20.jpg","캐주얼,어반/모던,심플/베이직",총장 81cm/ 허리 34cm/ 힙 53cm/ 밑위 41cm/ 밑단 48cm,레이온79 나일론21,없음,약간,없음,기본핏,"BEIGE,BLACK,BROWN,GRAY",http://www.ddmmarket.co.kr/Prod?m=S&c=C2NA110492
프로,동대문,청평화,"CPH-2-나-10,11",TEL : 010-5236-5511 (HP : 010-2324-8796),112,109,1117385,159번 비타통팬츠,BOTTOM,WOMEN,하의,바지,22000,대한민국,"https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1117385_0.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1117385_1.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1117385_2.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1117385_3.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1117385_4.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1117385_5.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1117385_6.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1117385_7.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1117385_8.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1117385_9.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1117385_10.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1117385_11.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1117385_12.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1117385_13.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1117385_14.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1117385_15.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1117385_16.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1117385_17.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1117385_18.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1117385_19.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1117385_20.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1117385_21.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1117385_22.jpg","캐주얼,어반/모던,심플/베이직","S-총장 87cm/ 허리 32cm/ 힙 41cm/ 밑위 27cm/ 밑단 21cm
M-총장 88cm/ 허리 34cm/ 힙 43cm/ 밑위 28cm/ 밑단 22cm
L-총장 89cm/ 허리 36cm/ 힙 45cm/ 밑위 29cm/ 밑단 23cm
XL-총장 90cm/ 허리 38cm/ 힙 47cm/ 밑위 30cm/ 밑단 24cm",면70 나일론27 스판3,없음,좋음,없음,기본핏,"BEIGE, S,BEIGE, M,BEIGE, L,BEIGE, XL,BLACK, S,BLACK, M,BLACK, L,BLACK, XL,IVORY, S,IVORY, M,IVORY, L,IVORY, XL,YELLOW, S,YELLOW, M,YELLOW, L,YELLOW, XL",http://www.ddmmarket.co.kr/Prod?m=S&c=C2NA110492
프로,동대문,청평화,"CPH-2-나-10,11",TEL : 010-5236-5511 (HP : 010-2324-8796),112,109,1117141,#682건빵통팬츠,BOTTOM,WOMEN,하의,바지,22000,,"https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1117141_0.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1117141_1.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1117141_2.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1117141_3.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1117141_4.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1117141_5.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1117141_6.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1117141_7.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1117141_8.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1117141_9.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1117141_10.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1117141_11.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1117141_12.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1117141_13.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1117141_14.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1117141_15.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1117141_16.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1117141_17.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1117141_18.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1117141_19.jpg","캐주얼,어반/모던,심플/베이직","FREE - 총장 97cm/ 허리 33cm/ 힙 48cm/ 밑위 30cm/ 밑단 20cm
L - 총장 98cm/ 허리 35cm/ 힙 50cm/ 밑위 31cm/ 밑단 21cm",레이온79 나일론21,없음,약간,없음,기본핏,"BEIGE,BEIGE, L,GRAY,GRAY, L",http://www.ddmmarket.co.kr/Prod?m=S&c=C2NA110492
프로,동대문,청평화,"CPH-2-나-10,11",TEL : 010-5236-5511 (HP : 010-2324-8796),112,109,1117000,#681샤샤밴드통SL,BOTTOM,WOMEN,하의,슬렉스,22000,대한민국,"https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1117000_0.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1117000_1.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1117000_2.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1117000_3.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1117000_4.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1117000_5.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1117000_6.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1117000_7.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1117000_8.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1117000_9.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1117000_10.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1117000_11.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1117000_12.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1117000_13.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1117000_14.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1117000_15.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1117000_16.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1117000_17.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1117000_18.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1117000_19.jpg","캐주얼,어반/모던,심플/베이직","FREE-총장 93cm/ 허리 32cm/ 힙 44cm/ 밑위 29cm/ 밑단 22cm
L-총장 94cm/ 허리 34cm/ 힙 46cm/ 밑위 30cm/ 밑단 23cm",폴리100,없음,약간,없음,기본핏,"BEIGE,BEIGE, L,BLACK,BLACK, L",http://www.ddmmarket.co.kr/Prod?m=S&c=C2NA110492
프로,동대문,청평화,"CPH-2-나-10,11",TEL : 010-5236-5511 (HP : 010-2324-8796),112,109,1116999,#669언발트임부츠컷SL,BOTTOM,WOMEN,하의,슬렉스,22000,대한민국,"https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1116999_0.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1116999_1.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1116999_2.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1116999_3.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1116999_4.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1116999_5.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1116999_6.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1116999_7.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1116999_8.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1116999_9.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1116999_10.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1116999_11.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1116999_12.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1116999_13.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1116999_14.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1116999_15.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1116999_16.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1116999_17.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1116999_18.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1116999_19.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1116999_20.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1116999_21.jpg","캐주얼,어반/모던,심플/베이직","S-총장 89cm/ 허리 32cm/ 힙 42cm/ 밑위 25cm/ 밑단 19cm
M-총장 90cm/ 허리 34cm/ 힙 44cm/ 밑위 26cm/ 밑단 20cm
L-총장 91cm/ 허리 36cm/ 힙 46cm/ 밑위 27cm/ 밑단 21cm",폴리95 스판5,없음,좋음,없음,기본핏,"BEIGE, S,BEIGE, M,BEIGE, L,BLACK, S,BLACK, M,BLACK, L,BLUE, S,BLUE, M,BLUE, L",http://www.ddmmarket.co.kr/Prod?m=S&c=C2NA110492
프로,동대문,청평화,"CPH-2-나-10,11",TEL : 010-5236-5511 (HP : 010-2324-8796),112,109,1116944,#680원픽와이드SL,BOTTOM,WOMEN,하의,슬렉스,21000,대한민국,"https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1116944_0.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1116944_1.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1116944_2.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1116944_3.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1116944_4.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1116944_5.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1116944_6.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1116944_7.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1116944_8.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1116944_9.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1116944_10.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1116944_11.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1116944_12.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1116944_13.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1116944_14.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1116944_15.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1116944_16.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1116944_17.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1116944_18.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1116944_19.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1116944_20.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1116944_21.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1116944_22.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1116944_23.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1116944_24.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1116944_25.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1116944_26.jpg","캐주얼,어반/모던,심플/베이직","S - 총장 91cm/ 허리 32cm/ 힙 46cm/ 밑위 30cm/ 밑단 30cm
M-총장 92cm/ 허리 34cm/ 힙 48cm/ 밑위 31cm/ 밑단 31cm
L-총장 93cm/ 허리 36cm/ 힙 50cm/ 밑위 32cm/ 밑단 32cm",레이온79 나일론21,없음,약간,없음,기본핏,"BEIGE, S,BEIGE, M,BEIGE, L,BROWN, S,BROWN, M,BROWN, L,GRAY, S,GRAY, M,GRAY, L",http://www.ddmmarket.co.kr/Prod?m=S&c=C2NA110492
