shop_name,sizang_name,sangga_name,shop_address,shop_phone,product_all_case,product_cate_case,product_unique_id,product_name,product_checkbox_category,product_category_1,product_category_2,product_category_3,product_price,product_made,product_image_url,product_style,product_size,product_maxrate,product_seethrough,product_elasticity,product_lining,product_fitting,product_color,product_link
해커,동대문,디오트,DOT-3-I-13,TEL : 02-2117-4802 (HP : 010-7189-8216),113,43,1094620,제니JK,OUTER,WOMEN,아우터,자켓,41000,대한민국,"https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1094620_0.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1094620_1.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1094620_2.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1094620_3.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1094620_4.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1094620_5.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1094620_6.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1094620_7.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1094620_8.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1094620_9.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1094620_10.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1094620_11.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1094620_12.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1094620_13.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1094620_14.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1094620_15.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1094620_16.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1094620_17.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1094620_18.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1094620_19.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1094620_20.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1094620_21.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1094620_22.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1094620_23.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1094620_24.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1094620_25.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1094620_26.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1094620_27.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1094620_28.jpg",캐주얼,총장 51cm/ 어깨 40cm/ 가슴 49cm/ 소매 60cm,폴리100,없음,없음,전체안감,기본핏,"IVORY,SKYBLUE",http://www.ddmmarket.co.kr/Prod?m=S&c=D3I1300101
해커,동대문,디오트,DOT-3-I-13,TEL : 02-2117-4802 (HP : 010-7189-8216),113,43,1090132,마일드JP,OUTER,WOMEN,아우터,패딩/점퍼,32000,대한민국,"https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1090132_0.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1090132_1.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1090132_2.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1090132_3.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1090132_4.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1090132_5.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1090132_6.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1090132_7.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1090132_8.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1090132_9.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1090132_10.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1090132_11.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1090132_12.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1090132_13.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1090132_14.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1090132_15.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1090132_16.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1090132_17.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1090132_18.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1090132_19.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1090132_20.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1090132_21.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1090132_22.jpg",캐주얼,총장 54cm/ 어깨 41cm/ 가슴 51cm/ 소매 59cm,폴리60 레이온40,없음,좋음,전체안감,기본핏,"BLACK,OATMEAL",http://www.ddmmarket.co.kr/Prod?m=S&c=D3I1300101
해커,동대문,디오트,DOT-3-I-13,TEL : 02-2117-4802 (HP : 010-7189-8216),113,43,1089732,HS-04트랜스패딩,OUTER,WOMEN,아우터,패딩/점퍼,43000,중국,"https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1089732_0.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1089732_1.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1089732_2.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1089732_3.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1089732_4.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1089732_5.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1089732_6.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1089732_7.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1089732_8.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1089732_9.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1089732_10.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1089732_11.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1089732_12.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1089732_13.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1089732_14.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1089732_15.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1089732_16.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1089732_17.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1089732_18.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1089732_19.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1089732_20.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1089732_21.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1089732_22.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1089732_23.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1089732_24.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1089732_25.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1089732_26.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1089732_27.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1089732_28.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1089732_29.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1089732_30.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1089732_31.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1089732_32.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1089732_33.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1089732_34.jpg",캐주얼,총장 50cm/ 어깨 45cm/ 가슴 58cm/ 소매 56cm,겉지: 나일론100/ 속지: 폴리100/ 충전재: 솜80 오리털20,없음,없음,전체안감,기본핏,"BLACK,CREAM,KHAKI",http://www.ddmmarket.co.kr/Prod?m=S&c=D3I1300101
해커,동대문,디오트,DOT-3-I-13,TEL : 02-2117-4802 (HP : 010-7189-8216),113,43,1076752,컴팩트JK,OUTER,WOMEN,아우터,자켓,26000,대한민국,"https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1076752_0.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1076752_1.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1076752_2.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1076752_3.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1076752_4.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1076752_5.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1076752_6.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1076752_7.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1076752_8.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1076752_9.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1076752_10.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1076752_11.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1076752_12.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1076752_13.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1076752_14.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1076752_15.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1076752_16.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1076752_17.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1076752_18.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1076752_19.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1076752_20.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1076752_21.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1076752_22.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1076752_23.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1076752_24.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1076752_25.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1076752_26.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1076752_27.jpg",캐주얼,총장 48cm/ 어깨 39cm/ 가슴 45cm/ 소매 26cm,레이온68 폴리32,없음,없음,없음,기본핏,"BEIGE,CHESTNUTBROWN",http://www.ddmmarket.co.kr/Prod?m=S&c=D3I1300101
해커,동대문,디오트,DOT-3-I-13,TEL : 02-2117-4802 (HP : 010-7189-8216),113,43,1076252,하겐JK,OUTER,WOMEN,아우터,자켓,44000,대한민국,"https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1076252_0.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1076252_1.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1076252_2.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1076252_3.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1076252_4.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1076252_5.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1076252_6.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1076252_7.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1076252_8.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1076252_9.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1076252_10.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1076252_11.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1076252_12.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1076252_13.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1076252_14.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1076252_15.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1076252_16.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1076252_17.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1076252_18.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1076252_19.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1076252_20.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1076252_21.jpg",캐주얼,총장 75cm/ 어깨 42cm/ 가슴 54cm/ 소매 60cm,폴리51 레이온47 스판2,없음,없음,부분안감,기본핏,"BEIGE,BLACK",http://www.ddmmarket.co.kr/Prod?m=S&c=D3I1300101
해커,동대문,디오트,DOT-3-I-13,TEL : 02-2117-4802 (HP : 010-7189-8216),113,43,1076067,로우JP,OUTER,WOMEN,아우터,패딩/점퍼,26000,대한민국,"https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1076067_0.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1076067_1.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1076067_2.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1076067_3.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1076067_4.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1076067_5.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1076067_6.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1076067_7.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1076067_8.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1076067_9.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1076067_10.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1076067_11.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1076067_12.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1076067_13.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1076067_14.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1076067_15.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1076067_16.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1076067_17.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1076067_18.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1076067_19.jpg",캐주얼,총장 53cm/ 가슴 66cm/ 어깨소매 77cm,레이온66 나일론34,없음,없음,없음,루즈핏,"BLACK,CREAM",http://www.ddmmarket.co.kr/Prod?m=S&c=D3I1300101
해커,동대문,디오트,DOT-3-I-13,TEL : 02-2117-4802 (HP : 010-7189-8216),113,43,1075035,베이프BBY,OUTER,WOMEN,탑,티/탑,35000,대한민국,"https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1075035_0.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1075035_1.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1075035_2.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1075035_3.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1075035_4.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1075035_5.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1075035_6.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1075035_7.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1075035_8.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1075035_9.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1075035_10.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1075035_11.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1075035_12.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1075035_13.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1075035_14.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1075035_15.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1075035_16.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1075035_17.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1075035_18.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1075035_19.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1075035_20.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1075035_21.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1075035_22.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1075035_23.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1075035_24.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1075035_25.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1075035_26.jpg",캐주얼,총장 116cm/ 어깨 51cm/ 가슴 64cm/ 소매 58cm,나일론100,없음,없음,없음,루즈핏,"BEIGE,BLACK",http://www.ddmmarket.co.kr/Prod?m=S&c=D3I1300101
해커,동대문,디오트,DOT-3-I-13,TEL : 02-2117-4802 (HP : 010-7189-8216),113,43,1072829,방탄JK,OUTER,WOMEN,아우터,자켓,43000,대한민국,"https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1072829_0.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1072829_1.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1072829_2.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1072829_3.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1072829_4.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1072829_5.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1072829_6.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1072829_7.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1072829_8.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1072829_9.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1072829_10.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1072829_11.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1072829_12.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1072829_13.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1072829_14.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1072829_15.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1072829_16.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1072829_17.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1072829_18.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1072829_19.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1072829_20.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1072829_21.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1072829_22.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1072829_23.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1072829_24.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1072829_25.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1072829_26.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1072829_27.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1072829_28.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1072829_29.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1072829_30.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1072829_31.jpg","캐주얼,어반/모던",총장 74cm/ 어깨 43cm/ 가슴 52cm/ 소매 59cm,폴리94 스판6,없음,없음,전체안감,기본핏,"BLACK,CREAM",http://www.ddmmarket.co.kr/Prod?m=S&c=D3I1300101
해커,동대문,디오트,DOT-3-I-13,TEL : 02-2117-4802 (HP : 010-7189-8216),113,43,1066480,스콘롱패딩,OUTER,WOMEN,아우터,패딩/점퍼,33000,중국,"https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1066480_0.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1066480_1.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1066480_2.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1066480_3.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1066480_4.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1066480_5.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1066480_6.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1066480_7.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1066480_8.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1066480_9.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1066480_10.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1066480_11.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1066480_12.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1066480_13.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1066480_14.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1066480_15.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1066480_16.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1066480_17.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1066480_18.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1066480_19.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1066480_20.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1066480_21.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1066480_22.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1066480_23.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1066480_24.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1066480_25.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1066480_26.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1066480_27.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1066480_28.jpg",캐주얼,총장 104cm/ 가슴 67cm/ 어깨소매 74cm,겉:나일론100/속:폴리100/충전제:솜100,없음,없음,없음,기본핏,"BEIGE,KHAKI",http://www.ddmmarket.co.kr/Prod?m=S&c=D3I1300101
해커,동대문,디오트,DOT-3-I-13,TEL : 02-2117-4802 (HP : 010-7189-8216),113,43,1063976,배색가디간,OUTER,WOMEN,아우터,가디건,15000,중국,"https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1063976_0.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1063976_1.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1063976_2.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1063976_3.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1063976_4.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1063976_5.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1063976_6.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1063976_7.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1063976_8.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1063976_9.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1063976_10.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1063976_11.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1063976_12.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1063976_13.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1063976_14.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1063976_15.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1063976_16.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1063976_17.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image/1063976_18.jpg",캐주얼,총장 54cm/ 가슴 52cm/ 어깨소매72 cm,나일론80 양모20,없음,좋음,없음,기본핏,"BLACK,CAMEL,CREAM",http://www.ddmmarket.co.kr/Prod?m=S&c=D3I1300101
