shop_name,sizang_name,sangga_name,shop_address,shop_phone,product_cate_case,product_unique_id,product_name,product_checkbox_category,product_category_1,product_category_2,product_category_3,product_price,product_made,product_image_url,product_style,product_size,product_maxrate,product_seethrough,product_elasticity,product_lining,product_fitting,product_color,product_link
르방,동대문,뉴존,NZ-B1-109,TEL : 02-6366-3302 (HP : 010-5017-1302),40,1110756,2261카라집업긴팔CD,OUTER,여성 의류,아우터,가디건,5000,중국,"https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1110756_0.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1110756_1.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1110756_2.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1110756_3.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1110756_4.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1110756_5.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1110756_6.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1110756_7.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1110756_8.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1110756_9.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1110756_10.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1110756_11.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1110756_12.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1110756_13.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1110756_14.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1110756_15.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1110756_16.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1110756_17.jpg","캐주얼,어반/모던,심플/베이직",총장 51cm/ 어깨 37cm/ 가슴 32cm/ 소매 62cm,아크릴70 폴리30,없음,좋음,없음,슬림핏,"BLACK,IVORY,SKYBLUE",http://www.ddmmarket.co.kr/Prod?m=S&c=NZB1109525
르방,동대문,뉴존,NZ-B1-109,TEL : 02-6366-3302 (HP : 010-5017-1302),40,1110755,베네타그린배색레더JK,OUTER,여성 의류,아우터,자켓,49000,중국,"https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1110755_0.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1110755_1.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1110755_2.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1110755_3.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1110755_4.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1110755_5.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1110755_6.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1110755_7.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1110755_8.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1110755_9.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1110755_10.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1110755_11.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1110755_12.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1110755_13.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1110755_14.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1110755_15.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1110755_16.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1110755_17.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1110755_18.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1110755_19.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1110755_20.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1110755_21.jpg","캐주얼,어반/모던,심플/베이직",총장 75cm/ 어깨 55cm/ 가슴 66cm/ 소매 59cm,인조가죽70 폴리30,없음,없음,전체안감,베이직,BLACK,http://www.ddmmarket.co.kr/Prod?m=S&c=NZB1109525
르방,동대문,뉴존,NZ-B1-109,TEL : 02-6366-3302 (HP : 010-5017-1302),40,1110754,마켓배색깔깔이패딩,OUTER,여성 의류,아우터,패딩/점퍼,49000,중국,"https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1110754_0.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1110754_1.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1110754_2.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1110754_3.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1110754_4.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1110754_5.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1110754_6.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1110754_7.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1110754_8.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1110754_9.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1110754_10.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1110754_11.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1110754_12.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1110754_13.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1110754_14.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1110754_15.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1110754_16.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1110754_17.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1110754_18.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1110754_19.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1110754_20.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1110754_21.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1110754_22.jpg","캐주얼,어반/모던,심플/베이직",총장 70cm/ 어깨 60cm/ 가슴 55cm/ 소매 57cm,폴리100,없음,없음,없음,베이직,"KHAKI,NAVY-1",http://www.ddmmarket.co.kr/Prod?m=S&c=NZB1109525
르방,동대문,뉴존,NZ-B1-109,TEL : 02-6366-3302 (HP : 010-5017-1302),40,1109465,101오리털롱패딩,OUTER,여성 의류,아우터,패딩/점퍼,47000,중국,"https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1109465_0.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1109465_1.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1109465_2.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1109465_3.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1109465_4.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1109465_5.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1109465_6.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1109465_7.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1109465_8.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1109465_9.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1109465_10.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1109465_11.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1109465_12.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1109465_13.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1109465_14.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1109465_15.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1109465_16.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1109465_17.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1109465_18.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1109465_19.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1109465_20.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1109465_21.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1109465_22.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1109465_23.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1109465_24.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1109465_25.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1109465_26.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1109465_27.jpg","캐주얼,어반/모던,심플/베이직",총장 98cm/ 어깨 38cm/ 가슴 50cm/ 소매 59cm,폴리100,없음,없음,전체안감,베이직,"BLACK,IVORY",http://www.ddmmarket.co.kr/Prod?m=S&c=NZB1109525
르방,동대문,뉴존,NZ-B1-109,TEL : 02-6366-3302 (HP : 010-5017-1302),40,1109464,잔골지니트V,OUTER,여성 의류,탑,티/탑,9000,대한민국,"https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1109464_0.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1109464_1.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1109464_2.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1109464_3.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1109464_4.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1109464_5.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1109464_6.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1109464_7.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1109464_8.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1109464_9.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1109464_10.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1109464_11.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1109464_12.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1109464_13.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1109464_14.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1109464_15.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1109464_16.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1109464_17.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1109464_18.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1109464_19.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1109464_20.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1109464_21.jpg","캐주얼,어반/모던,심플/베이직",총장 69cm/ 어깨 49cm/ 가슴 60cm,아크릴70 폴리30,없음,좋음,없음,루즈핏,"BLACK,CHINESEINK,GREEN,PINK,WINE",http://www.ddmmarket.co.kr/Prod?m=S&c=NZB1109525
르방,동대문,뉴존,NZ-B1-109,TEL : 02-6366-3302 (HP : 010-5017-1302),40,1109463,큰골지니트V,TOP & TEE,여성 의류,탑,티/탑,10000,대한민국,"https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1109463_0.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1109463_1.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1109463_2.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1109463_3.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1109463_4.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1109463_5.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1109463_6.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1109463_7.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1109463_8.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1109463_9.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1109463_10.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1109463_11.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1109463_12.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1109463_13.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1109463_14.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1109463_15.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1109463_16.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1109463_17.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1109463_18.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1109463_19.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1109463_20.jpg","캐주얼,어반/모던,심플/베이직",총장 73cm/ 어깨 51cm/ 가슴 61cm,아크릴70 폴리30,없음,좋음,없음,루즈핏,"BEIGE,BLACK,CHINESEINK,MINT,PURPLE-2",http://www.ddmmarket.co.kr/Prod?m=S&c=NZB1109525
르방,동대문,뉴존,NZ-B1-109,TEL : 02-6366-3302 (HP : 010-5017-1302),40,1102069,빅오버리시브반팔T,TOP & TEE,여성 의류,탑,티/탑,11000,대한민국,"https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1102069_0.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1102069_1.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1102069_2.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1102069_3.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1102069_4.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1102069_5.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1102069_6.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1102069_7.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1102069_8.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1102069_9.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1102069_10.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1102069_11.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1102069_12.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1102069_13.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1102069_14.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1102069_15.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1102069_16.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1102069_17.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1102069_18.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1102069_19.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1102069_20.jpg",캐주얼,총장 81cm/ 가슴 73cm/ 어깨소매 48cm,면100,없음,좋음,없음,루즈핏,"BLUE,WHITE-2",http://www.ddmmarket.co.kr/Prod?m=S&c=NZB1109525
르방,동대문,뉴존,NZ-B1-109,TEL : 02-6366-3302 (HP : 010-5017-1302),40,1102067,빅오버버킷햇반팔T,TOP & TEE,여성 의류,탑,티/탑,11000,대한민국,"https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1102067_0.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1102067_1.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1102067_2.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1102067_3.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1102067_4.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1102067_5.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1102067_6.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1102067_7.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1102067_8.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1102067_9.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1102067_10.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1102067_11.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1102067_12.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1102067_13.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1102067_14.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1102067_15.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1102067_16.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1102067_17.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1102067_18.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1102067_19.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1102067_20.jpg",캐주얼,총장 81cm/ 가슴 73cm/ 어깨소매 48cm,면100,없음,좋음,없음,루즈핏,"LIME,WHITE-2",http://www.ddmmarket.co.kr/Prod?m=S&c=NZB1109525
르방,동대문,뉴존,NZ-B1-109,TEL : 02-6366-3302 (HP : 010-5017-1302),40,1102066,빅오버레인져반팔T,TOP & TEE,여성 의류,탑,티/탑,11000,대한민국,"https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1102066_0.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1102066_1.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1102066_2.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1102066_3.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1102066_4.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1102066_5.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1102066_6.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1102066_7.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1102066_8.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1102066_9.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1102066_10.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1102066_11.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1102066_12.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1102066_13.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1102066_14.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1102066_15.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1102066_16.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1102066_17.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1102066_18.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1102066_19.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1102066_20.jpg",캐주얼,총장 81cm/ 가슴 73cm/ 어깨소매 48cm,면100,없음,좋음,없음,루즈핏,"BLACK,WHITE-2",http://www.ddmmarket.co.kr/Prod?m=S&c=NZB1109525
르방,동대문,뉴존,NZ-B1-109,TEL : 02-6366-3302 (HP : 010-5017-1302),40,1100201,빅오버락스타반팔T,TOP & TEE,여성 의류,탑,티/탑,11000,대한민국,"https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1100201_0.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1100201_1.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1100201_2.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1100201_3.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1100201_4.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1100201_5.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1100201_6.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1100201_7.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1100201_8.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1100201_9.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1100201_10.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1100201_11.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1100201_12.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1100201_13.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1100201_14.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1100201_15.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1100201_16.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1100201_17.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1100201_18.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1100201_19.jpg",캐주얼,총장 81cm/ 가슴 74cm/ 어깨소매 52cm,면100%,없음,좋음,없음,루즈핏,"BLACK,WHITE-2",http://www.ddmmarket.co.kr/Prod?m=S&c=NZB1109525
