shop_name,sizang_name,sangga_name,shop_address,shop_phone,product_cate_case,product_unique_id,product_name,product_checkbox_category,product_category_1,product_category_2,product_category_3,product_price,product_made,product_image_url,product_style,product_size,product_maxrate,product_seethrough,product_elasticity,product_lining,product_fitting,product_color,product_link
커피샤워,동대문,청평화,CPH-1-다-12,TEL : 02-2233-1896 (HP : 010-9907-1896),136,1117929,애니크롭Y,OUTER,여성 의류,탑,티/탑,15000,대한민국,"https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1117929_0.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1117929_1.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1117929_2.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1117929_3.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1117929_4.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1117929_5.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1117929_6.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1117929_7.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1117929_8.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1117929_9.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1117929_10.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1117929_11.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1117929_12.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1117929_13.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1117929_14.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1117929_15.jpg","캐주얼,어반/모던,심플/베이직",총장 51cm/ 어깨 36cm/ 가슴 45cm/ 소매 41cm,아크릴100,약간비침,약간,없음,베이직,"BEIGE,IVORY,NAVY-1,PINK",http://www.ddmmarket.co.kr/Prod?m=S&c=C1DA120467
커피샤워,동대문,청평화,CPH-1-다-12,TEL : 02-2233-1896 (HP : 010-9907-1896),136,1117814,린넨꽈V,OUTER,여성 의류,탑,티/탑,18000,대한민국,"https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1117814_0.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1117814_1.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1117814_2.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1117814_3.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1117814_4.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1117814_5.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1117814_6.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1117814_7.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1117814_8.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1117814_9.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1117814_10.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1117814_11.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1117814_12.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1117814_13.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1117814_14.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1117814_15.jpg","캐주얼,어반/모던,심플/베이직",총장 50cm/ 어깨 42cm/ 가슴 52cm/ 소매 24cm,아크릴85 린넨15,없음,약간,없음,베이직,"BEIGE,COCOA,NAVY,PINK",http://www.ddmmarket.co.kr/Prod?m=S&c=C1DA120467
커피샤워,동대문,청평화,CPH-1-다-12,TEL : 02-2233-1896 (HP : 010-9907-1896),136,1117265,이레나롱,OUTER,여성 의류,기타,,9000,,"https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1117265_0.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1117265_1.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1117265_2.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1117265_3.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1117265_4.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1117265_5.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1117265_6.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1117265_7.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1117265_8.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1117265_9.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1117265_10.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1117265_11.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1117265_12.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1117265_13.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1117265_14.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1117265_15.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1117265_16.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1117265_17.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1117265_18.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1117265_19.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1117265_20.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1117265_21.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1117265_22.jpg","캐주얼,어반/모던,심플/베이직",총장 73cm/ 어깨 39cm/ 가슴 51cm/ 소매 61cm,혼용율,약간비침,좋음,없음,베이직,"BEIGE,BLACK,BLUE,GREEN,NAVY,ORANGE,PINK,PURPLE,RED,SKYBLUE,WHITE,YELLOW",http://www.ddmmarket.co.kr/Prod?m=S&c=C1DA120467
커피샤워,동대문,청평화,CPH-1-다-12,TEL : 02-2233-1896 (HP : 010-9907-1896),136,1117264,W가디건,OUTER,여성 의류,아우터,가디건,17000,대한민국,"https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1117264_0.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1117264_1.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1117264_2.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1117264_3.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1117264_4.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1117264_5.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1117264_6.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1117264_7.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1117264_8.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1117264_9.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1117264_10.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1117264_11.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1117264_12.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1117264_13.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1117264_14.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1117264_15.jpg","캐주얼,어반/모던,심플/베이직",총장 52cm/ 어깨 40cm/ 가슴 46cm/ 소매 22cm,아크릴100,약간비침,약간,없음,베이직,"COCOA,IVORY,NAVY,PINK",http://www.ddmmarket.co.kr/Prod?m=S&c=C1DA120467
커피샤워,동대문,청평화,CPH-1-다-12,TEL : 02-2233-1896 (HP : 010-9907-1896),136,1116967,오픈볼레로,OUTER,여성 의류,기타,,14000,대한민국,"https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1116967_0.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1116967_1.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1116967_2.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1116967_3.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1116967_4.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1116967_5.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1116967_6.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1116967_7.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1116967_8.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1116967_9.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1116967_10.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1116967_11.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1116967_12.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1116967_13.jpg","캐주얼,어반/모던,심플/베이직",총장 44cm/ 가슴 54cm/ 어깨소매 81cm,아크릴100,약간비침,좋음,없음,루즈핏,"BEIGE,PINK,SKYBLUE",http://www.ddmmarket.co.kr/Prod?m=S&c=C1DA120467
커피샤워,동대문,청평화,CPH-1-다-12,TEL : 02-2233-1896 (HP : 010-9907-1896),136,1116157,썸크롭가디건,OUTER,여성 의류,아우터,가디건,13000,대한민국,"https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1116157_0.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1116157_1.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1116157_2.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1116157_3.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1116157_4.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1116157_5.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1116157_6.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1116157_7.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1116157_8.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1116157_9.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1116157_10.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1116157_11.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1116157_12.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1116157_13.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1116157_14.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1116157_15.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1116157_16.jpg","캐주얼,어반/모던,심플/베이직",총장 51cm/ 어깨 36cm/ 가슴 45cm/ 소매 41cm,아크릴100,약간비침,약간,없음,베이직,"BEIGE,BLACK,IVORY,PURPLE-2",http://www.ddmmarket.co.kr/Prod?m=S&c=C1DA120467
커피샤워,동대문,청평화,CPH-1-다-12,TEL : 02-2233-1896 (HP : 010-9907-1896),136,1116156,마르니크롭가디건,OUTER,여성 의류,아우터,가디건,15000,대한민국,"https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1116156_0.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1116156_1.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1116156_2.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1116156_3.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1116156_4.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1116156_5.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1116156_6.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1116156_7.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1116156_8.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1116156_9.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1116156_10.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1116156_11.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1116156_12.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1116156_13.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1116156_14.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1116156_15.jpg","캐주얼,어반/모던,심플/베이직",총장 51cm/ 어깨 36cm/ 가슴 45cm/ 소매 41cm,아크릴100,약간비침,약간,없음,베이직,"GREEN,IVORY,NAVY,PINK",http://www.ddmmarket.co.kr/Prod?m=S&c=C1DA120467
커피샤워,동대문,청평화,CPH-1-다-12,TEL : 02-2233-1896 (HP : 010-9907-1896),136,1115911,마쥬리본Y,OUTER,여성 의류,탑,티/탑,19000,대한민국,"https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1115911_0.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1115911_1.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1115911_2.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1115911_3.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1115911_4.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1115911_5.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1115911_6.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1115911_7.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1115911_8.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1115911_9.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1115911_10.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1115911_11.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1115911_12.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1115911_13.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1115911_14.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1115911_15.jpg","캐주얼,어반/모던,심플/베이직",총장 51cm/ 어깨 33cm/ 가슴 45cm/ 소매 59cm,아크릴90 폴리10,없음,약간,없음,베이직,"BLACK,IVORY,MINT,PINK",http://www.ddmmarket.co.kr/Prod?m=S&c=C1DA120467
커피샤워,동대문,청평화,CPH-1-다-12,TEL : 02-2233-1896 (HP : 010-9907-1896),136,1115170,까멜리아Y,OUTER,여성 의류,탑,티/탑,21000,,"https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1115170_0.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1115170_1.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1115170_2.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1115170_3.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1115170_4.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1115170_5.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1115170_6.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1115170_7.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1115170_8.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1115170_9.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1115170_10.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1115170_11.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1115170_12.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1115170_13.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1115170_14.jpg","캐주얼,어반/모던,심플/베이직",총장 54cm/ 어깨 33cm/ 가슴 45cm/ 소매 59cm,아크릴90 폴리10,없음,약간,없음,베이직,"BLACK,IVORY,MINT",http://www.ddmmarket.co.kr/Prod?m=S&c=C1DA120467
커피샤워,동대문,청평화,CPH-1-다-12,TEL : 02-2233-1896 (HP : 010-9907-1896),136,1114807,플라워진주Y,OUTER,여성 의류,탑,티/탑,23000,대한민국,"https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1114807_0.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1114807_1.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1114807_2.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1114807_3.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1114807_4.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1114807_5.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1114807_6.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1114807_7.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1114807_8.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1114807_9.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1114807_10.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1114807_11.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1114807_12.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1114807_13.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1114807_14.jpg,https://sokodress.s3.ap-northeast-2.amazonaws.com/products_image1/1114807_15.jpg","미시,심플/베이직",총장 54cm/ 어깨 33cm/ 가슴 45cm/ 소매 59cm,아크릴90 폴리10,없음,약간,없음,베이직,"BEIGE,BLACK,IVORY,MINT",http://www.ddmmarket.co.kr/Prod?m=S&c=C1DA120467
